time,lat,lon,depth,compound,treatment_type,eddy_vorticity,size_fraction_um,value
2017-07-04T08:55:00,25,-158.5,25, L-Arginosuccinic acid,Control,Cyclonic,0.2,5306.532258
2017-07-04T08:55:00,25,-158.5,25, L-Arginosuccinic acid,DMB,Cyclonic,0.2,
2017-07-04T08:55:01,25,-158.5,25, L-Arginosuccinic acid,DMBnoB12,Cyclonic,0.2,
2017-07-04T08:55:02,25,-158.5,25, L-Arginosuccinic acid,DeepSeaWater,Cyclonic,0.2,13329.70968
2017-07-04T08:55:03,25,-158.5,25, L-Arginosuccinic acid,noB12,Cyclonic,0.2,6060.064516
2017-07-04T08:55:04,25,-158.5,25, L-Arginosuccinic acid,B12,Cyclonic,0.2,
2017-07-04T08:55:00,25,-158.5,15, L-Arginosuccinic acid,Time0,Cyclonic,0.2,5194.741935
2017-07-04T08:55:00,25,-158.5,25, L-Arginosuccinic acid,Control,Cyclonic,5,38013.3871
2017-07-04T08:55:00,25,-158.5,25, L-Arginosuccinic acid,DMB,Cyclonic,5,14038.80645
2017-07-04T08:55:01,25,-158.5,25, L-Arginosuccinic acid,DMBnoB12,Cyclonic,5,26868.03226
2017-07-04T08:55:02,25,-158.5,25, L-Arginosuccinic acid,DeepSeaWater,Cyclonic,5,48545.53226
2017-07-04T08:55:03,25,-158.5,25, L-Arginosuccinic acid,noB12,Cyclonic,5,21033.41935
2017-07-04T08:55:04,25,-158.5,25, L-Arginosuccinic acid,B12,Cyclonic,5,5456.677419
2017-07-04T08:55:00,25,-158.5,15, L-Arginosuccinic acid,Time0,Cyclonic,5,
2017-10-04T16:00:00,27,157,25, L-Arginosuccinic acid,Control,Anticyclonic,0.2,
2017-10-04T16:00:01,27,157,25, L-Arginosuccinic acid,DMB,Anticyclonic,0.2,
2017-10-04T16:00:02,27,157,25, L-Arginosuccinic acid,DMBnoB12,Anticyclonic,0.2,9409.096774
2017-10-04T16:00:03,27,157,25, L-Arginosuccinic acid,DeepSeaWater,Anticyclonic,0.2,7828.129032
2017-10-04T16:00:04,27,157,25, L-Arginosuccinic acid,noB12,Anticyclonic,0.2,
2017-10-04T16:00:05,27,157,25, L-Arginosuccinic acid,B12,Anticyclonic,0.2,
