"","Compound.Name","Note","type","SampID","replicate","FinalBMIS","BMISdArea","DatOrg","Flu","RF","cell/mL","BMISd_Normed"
"1","Kynurenine",NA,"Smp","LB12HL","AB","AreatoBMIS",299873,"CYANO_Aq",60.9,753.7,45900.33,6.53313385764329
"2","Kynurenine",NA,"Smp","LB12HL","CD","AreatoBMIS",291090,"CYANO_Aq",65.1,753.7,49065.87,5.93263708561572
"3","Kynurenine",NA,"Smp","LB12HL","EF","AreatoBMIS",256818,"CYANO_Aq",67.8,753.7,51100.86,5.025707982214
"4","Kynurenine",NA,"Smp","RB12HL","AB","AreatoBMIS",561559,"CYANO_Aq",227.3,753.7,171316.01,3.27791313841596
"5","Kynurenine",NA,"Smp","RB12HL","CD","AreatoBMIS",434901,"CYANO_Aq",196.2,753.7,147875.94,2.94098553152054
"6","Kynurenine",NA,"Smp","RB12HL","EF","AreatoBMIS",539936,"CYANO_Aq",200.8,753.7,151342.96,3.56763208543034
"7","Kynurenine",NA,"Smp","LB12LL","AB","AreatoBMIS",122261,"CYANO_Aq",57.4,753.7,43262.38,2.82603499853684
"8","Kynurenine",NA,"Smp","LB12LL","CD","AreatoBMIS",161168,"CYANO_Aq",50.3,753.7,37911.11,4.2512076275266
"9","Kynurenine",NA,"Smp","LB12LL","EF","AreatoBMIS",197539,"CYANO_Aq",58.5,753.7,44091.45,4.48021101596795
"10","Kynurenine",NA,"Smp","RB12LL","AB","AreatoBMIS",295807,"CYANO_Aq",215.5,753.7,162422.35,1.82122103269655
"11","Kynurenine",NA,"Smp","RB12LL","CD","AreatoBMIS",204777,"CYANO_Aq",201.7,753.7,152021.29,1.34702843266229
"12","Kynurenine",NA,"Smp","RB12LL","EF","AreatoBMIS",220465,"CYANO_Aq",255.4,753.7,192494.98,1.14530259438454
"13","Pyridoxal Phosphate",NA,"Smp","LB12HL","AB","AreatoBMIS",2191648,"CYANO_Aq",60.9,753.7,45900.33,47.7479791539625
"14","Pyridoxal Phosphate",NA,"Smp","LB12HL","CD","AreatoBMIS",990762,"CYANO_Aq",65.1,753.7,49065.87,20.1924881796654
"15","Pyridoxal Phosphate",NA,"Smp","LB12HL","EF","AreatoBMIS",1383513,"CYANO_Aq",67.8,753.7,51100.86,27.0741627440321
"16","Pyridoxal Phosphate",NA,"Smp","RB12HL","AB","AreatoBMIS",6241222,"CYANO_Aq",227.3,753.7,171316.01,36.4310492638721
"17","Pyridoxal Phosphate",NA,"Smp","RB12HL","CD","AreatoBMIS",5593510,"CYANO_Aq",196.2,753.7,147875.94,37.8256936185833
"18","Pyridoxal Phosphate",NA,"Smp","RB12HL","EF","AreatoBMIS",5333011,"CYANO_Aq",200.8,753.7,151342.96,35.237919226636
"19","Pyridoxal Phosphate",NA,"Smp","LB12LL","AB","AreatoBMIS",1169015,"CYANO_Aq",57.4,753.7,43262.38,27.0215138418182
"20","Pyridoxal Phosphate",NA,"Smp","LB12LL","CD","AreatoBMIS",890117,"CYANO_Aq",50.3,753.7,37911.11,23.4790540292806
"21","Pyridoxal Phosphate",NA,"Smp","LB12LL","EF","AreatoBMIS",1118606,"CYANO_Aq",58.5,753.7,44091.45,25.3701341189732
"22","Pyridoxal Phosphate",NA,"Smp","RB12LL","AB","AreatoBMIS",2999067,"CYANO_Aq",215.5,753.7,162422.35,18.4646201708078
"23","Pyridoxal Phosphate",NA,"Smp","RB12LL","CD","AreatoBMIS",2236272,"CYANO_Aq",201.7,753.7,152021.29,14.7102553859397
"24","Pyridoxal Phosphate",NA,"Smp","RB12LL","EF","AreatoBMIS",2018075,"CYANO_Aq",255.4,753.7,192494.98,10.4837798887015
"25","Vitamin B1",NA,"Smp","LB12HL","AB","AreatoBMIS",11611163,"CYANO_Aq",60.9,753.7,45900.33,252.964695460795
"26","Vitamin B1",NA,"Smp","LB12HL","CD","AreatoBMIS",21533971,"CYANO_Aq",65.1,753.7,49065.87,438.878817393842
"27","Vitamin B1",NA,"Smp","LB12HL","EF","AreatoBMIS",12958689,"CYANO_Aq",67.8,753.7,51100.86,253.590428810787
"28","Vitamin C",NA,"Smp","LB12HL","AB","AreatoBMIS",1628,"CYANO_Aq",60.9,753.7,45900.33,0.0354681545862524
"29","Vitamin C",NA,"Smp","LB12HL","CD","AreatoBMIS",1224,"CYANO_Aq",65.1,753.7,49065.87,0.0249460572084017
"30","Vitamin C",NA,"Smp","LB12HL","EF","AreatoBMIS",1226,"CYANO_Aq",67.8,753.7,51100.86,0.0239917684359911
"31","Vitamin C",NA,"Smp","RB12HL","AB","AreatoBMIS",12824311,"CYANO_Aq",227.3,753.7,171316.01,74.8576329789609
"32","Vitamin C",NA,"Smp","RB12HL","CD","AreatoBMIS",1716438,"CYANO_Aq",196.2,753.7,147875.94,11.6072837812561
"33","Vitamin C",NA,"Smp","RB12HL","EF","AreatoBMIS",1975547,"CYANO_Aq",200.8,753.7,151342.96,13.0534449702847
"34","Coenzyme B12",NA,"Smp","RB12HL","AB","AreatoBMIS",19703,"CYANO_Aq",227.3,753.7,171316.01,0.115009682982927
"35","Coenzyme B12",NA,"Smp","RB12HL","CD","AreatoBMIS",8204,"CYANO_Aq",196.2,753.7,147875.94,0.055478937276747
"36","Coenzyme B12",NA,"Smp","RB12HL","EF","AreatoBMIS",10568,"CYANO_Aq",200.8,753.7,151342.96,0.0698281571868292
"37","Coenzyme B12",NA,"Smp","RB12LL","AB","AreatoBMIS",3372,"CYANO_Aq",215.5,753.7,162422.35,0.020760689646468
"38","Coenzyme B12",NA,"Smp","RB12LL","CD","AreatoBMIS",3563,"CYANO_Aq",201.7,753.7,152021.29,0.0234375066808077
"39","Coenzyme B12",NA,"Smp","RB12LL","EF","AreatoBMIS",560,"CYANO_Aq",255.4,753.7,192494.98,0.00290916677411536
"40","Hydroxo B12",NA,"Smp","RB12HL","AB","AreatoBMIS",767986,"CYANO_Aq",227.3,753.7,171316.01,4.48286181776006
"41","Hydroxo B12",NA,"Smp","RB12HL","CD","AreatoBMIS",944491,"CYANO_Aq",196.2,753.7,147875.94,6.38704984732472
"42","Hydroxo B12",NA,"Smp","RB12HL","EF","AreatoBMIS",684494,"CYANO_Aq",200.8,753.7,151342.96,4.5228003998336
"43","Hydroxo B12",NA,"Smp","RB12LL","AB","AreatoBMIS",411727,"CYANO_Aq",215.5,753.7,162422.35,2.53491591520502
"44","Hydroxo B12",NA,"Smp","RB12LL","CD","AreatoBMIS",440024,"CYANO_Aq",201.7,753.7,152021.29,2.89448931791067
"45","Hydroxo B12",NA,"Smp","RB12LL","EF","AreatoBMIS",581930,"CYANO_Aq",255.4,753.7,192494.98,3.02309182296598
"46","Vitamin B1","BackFilled","Smp","RB12HL","AB","AreatoBMIS",6224377,"CYANO_Aq",227.3,753.7,171316.01,36.3327222015035
"47","Vitamin B1","BackFilled","Smp","RB12HL","CD","AreatoBMIS",6224377,"CYANO_Aq",196.2,753.7,147875.94,42.0918845892036
"48","Vitamin B1","BackFilled","Smp","RB12HL","EF","AreatoBMIS",6224377,"CYANO_Aq",200.8,753.7,151342.96,41.127628268933
"49","Vitamin B1","BackFilled","Smp","LB12LL","AB","AreatoBMIS",6224377,"CYANO_Aq",57.4,753.7,43262.38,143.875048020936
"50","Vitamin B1","BackFilled","Smp","LB12LL","CD","AreatoBMIS",6224377,"CYANO_Aq",50.3,753.7,37911.11,164.183454401625
"51","Vitamin B1","BackFilled","Smp","LB12LL","EF","AreatoBMIS",6224377,"CYANO_Aq",58.5,753.7,44091.45,141.169705237637
