"Replicate.Name","Column","Area.Value","Mz.Value","RT.Value","SN.Value","Alignment.ID","Metabolite.Name","Adduct.type","MS.MS.assigned","Reference.RT","Reference.m.z","Comment","S.N.average","Spectrum.reference.file.name"
"171002_Blk_ProcessBlk_1","HILICNeg",9639104,88.987,15.625,25.10067,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Blk_ProcessBlk_2","HILICNeg",9234762,88.987,15.634,26.20835,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Blk_ProcessBlk_3","HILICNeg",7156489,88.987,15.568,16.33024,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Poo_Sept29QC_1","HILICNeg",17409994,88.987,14.897,342.4251,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Poo_TruePooWeek1_Full1","HILICNeg",12003592,88.987,15.297,18.56205,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Poo_TruePooWeek1_Full2","HILICNeg",7398488,88.987,15.806,14.67281,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Poo_TruePooWeek1_Full3","HILICNeg",8641660,88.987,15.582,13.54401,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Poo_TruePooWeek1_Full4","HILICNeg",7601334,88.987,15.643,14.88319,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Poo_TruePooWeek1_Half1","HILICNeg",9269093,88.987,15.269,22.1006,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Poo_TruePooWeek1_Half2","HILICNeg",6281700,88.987,15.76,227.8815,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
