"","2-Hydroxy-4-(methylthio)butyric","4-Hydroxyisoleucine","Acetyl-L-carnitine","Aconitic Acid","Adenine","Adenosine","Adenosyl Methionine","Alanine","Allopurinol","Amino Propanesulfonic Acid","Aminobutyric Acid","AMP","Arginine","Arsenobetaine","Asparagine","Aspartic acid","Betaine","Butyryl-L-carnitine","Carnitine","Choline","Citric Acid","Citrulline","Creatine","Cystathionine","Cysteic Acid","Cytidine","Cytosine","Deoxyadenosine","DHAP","DHPS","Dimethylsulfonioacetate (DMS-Ac)","DMSP","Ectoine","Ethanesulfonic Acid","Fructose 6 phosphate","Fumaric Acid","Gluconic Acid","Glucosylglycerol","Glutamic acid","Glutamine","Glutathione Disulfide","glycerol 3 phosphate","Glycerophosphocholine","Gonyol","Guanine","Guanosine","Histidine","Homarine","Homocystine","Hydroxyectoine","Hydroxylysine","Hypotaurine","Hypoxanthine","Imidazoleacrylic Acid","Inosine","Isethionic Acid","Ketoglutaric Acid","L-Pyroglutamic acid","Leucine","Lipoic Acid","Lysine","Malic Acid","Melamine","MESNA (Sodium 2-mercaptoethanesulfonate)","Methionine","Methionine Sulfoxide","Methylphosphonic Acid","N-acetyltaurine","N-methyltaurine","N(e)-Acetyl-Lysine","NAD","Ornithine","Orotic Acid","Oxalic Acid","Proline","Propanesulfonate","Propionyl-L-carnitine","Resorcylic Acid","Ribose 5 phosphate","Salicylic Acid","Serine","Shikimic Acid","Stachydrine hydrochloride","Succinic Acid","Succinic semialdehyde","Sulfanilic Acid","Taurine","Threonine","Thymidine","Thymine","Trehalose","Trigonelline","Turicine","Tyrosine","UDP-glucosamine","UDP-glucose","Uridine"
"171009_Smp_IL1Control5um_1",0.384191617940379,0.177226331923857,-0.465136899404404,0.0967421760490432,-0.0221659760487012,-0.0579896418077942,0.242270959891342,-0.125403811921323,0.869047525310744,-1.25944086832165,-0.104763200201042,-0.630286927808535,-0.495610903181565,0.970749331045035,-0.00636016340017658,0.55865612844543,0.253459155269835,0.52236623559773,-0.0226855744381002,-0.245069652930659,0.303505195547065,-0.60614650885535,-0.41043754392415,-0.360856239641609,0.308535326481812,-0.243841361195709,0.456033882600534,0.85080431959886,0.549635485078283,-0.39514267184738,0.177159971562743,-0.349712407471101,-0.441540601490498,-0.680870202088364,-0.511741134146999,0.983089759837344,-0.642080995645547,-0.39485326408074,-0.0952545467225773,0.0213726240268339,0.545894433404141,-0.315508902391809,-0.00689400193346911,-0.799459067209979,-0.48530120171342,-0.131559406521289,0.0436255136957483,-0.0528133493945795,-0.264704894845803,1.55393731300998,-0.196202086881754,-0.170766607863866,0.660288025132897,-0.418262877224591,-0.160356881867611,0.109510604029668,-0.139244007410719,-0.810455053775122,0.357480505012422,1.59686695163088,-0.264658352959477,-0.355679964699668,-0.552892718062376,-1.84971530776572,-0.0207289957373229,0.161275006598753,-0.723798912068718,-0.519993051689779,1.0790025790476,2.14171188129194,-0.336384605452126,-0.641811712432996,-0.159333830409132,0.265164219874524,-0.282125987660004,-0.927155652433534,1.01740103162663,0.798640938957857,-0.559500748749831,-1.08824990317611,0.245413842522987,0.584153236055573,0.135911913405313,-0.293728581620819,0.41427521355006,-0.171803267555055,0.000387682818749858,-0.260078010666014,1.37868878654453,0.872326764469563,-0.464206838290321,0.217167473642986,0.471092841897202,-0.441868254509157,0.356985288013586,-0.451042650301513,-0.388327933378996
"171009_Smp_IL1Control5um_2",-0.492682301222401,1.50999749523787,-0.65153445798824,0.104383798090292,-0.41249469624845,-0.393890012608899,-0.305764551961607,-0.562118441226098,-0.75957876148282,0.0418388546177341,0.758777643783055,0.280881440396582,-0.171904559189927,1.70499900968519,-0.493065039201277,-0.663457744495937,0.844899205908439,-0.664866001939851,-0.448323661275224,-0.274246987431527,-0.0757451437579871,-0.678490081543501,1.30241693192611,-0.475936588738624,-0.450715961111587,-0.654861430449955,-0.770187202441133,-0.520829435787491,0.915109644521603,-0.50040109480839,-0.388028242061481,-0.720769354154079,-0.490258310733907,-0.225363246550912,-0.611532378234478,0.681092909500855,-0.952757341828162,-0.56929778181913,-0.595457648745373,-0.483706720104044,-0.262974854903052,-0.514218998466595,0.486660827386422,-0.879865151011988,-0.974629463607221,-0.533036628218035,-0.514537045892184,-0.141670017326998,-0.323310688944567,0.919488809698186,-0.582288131861429,-0.257032183509766,-1.14012662793587,-0.0832612379590552,0.49365727904119,-0.334058646433989,-0.495016639025128,-0.319070370668354,-0.500287687681933,-0.04020339404603,-0.371895914448738,-0.496440415825435,-0.876948321922234,-1.29018251794632,-0.3409513321343,0.351063400522047,-0.871582034604354,-0.695504603152269,0.355198640192575,0.573552610149169,-0.696721456626507,-0.5789034667892,-0.471800182786469,1.01435071693591,0.0918155068990377,-0.466129555099778,-0.433205170497797,1.30743319322924,-0.439147113374878,0.0279431695123096,-0.274737032516074,-1.50775155110018,-0.220161871067835,-0.472180024826287,-0.000358897737056928,-0.149000118653084,0.895872891373988,-0.573794590086366,-0.814673038771788,-0.780224415686206,-0.351430667868651,0.804890263348735,1.12197231540226,-0.745707492823067,0.269488937713865,-0.451042650301513,-0.581865763266688
"171009_Smp_IL1Control5um_3",-1.51519076827681,1.05373809907855,1.95242832056818,-0.361910542908666,0.454048117490635,0.710136388632948,-0.647707547990422,0.26185243405324,0.861333510917596,2.04086313354314,0.853821808084326,-0.826063257766782,-0.346053424705738,0.310447809014422,-0.447078140532255,-0.0508088981065121,0.441597122934312,0.523538402196173,2.04950595997885,1.93606419947888,0.523554967669592,-0.7270821395725,-0.261543350602678,-0.783585313994415,0.17219748481675,0.0645802643336918,1.68745946938691,3.04020010593172,-1.31908149339563,-0.550563145333636,0.0267751733844145,0.279588953136902,3.93632349164409,0.886698778360967,-0.342339960044778,-0.172044396098469,-0.177068551077418,-0.260533974172687,-0.0605962875788948,-0.452352980125539,-0.604229080212469,1.4420429342978,-0.900927050688005,0.0980690930148647,1.10199438478752,-0.193482821607668,0.947424463688564,-0.141289813582791,-0.406881813427392,-0.0889681565189461,-0.582288131861429,0.457681566533807,1.12382606410623,1.27001367022306,-0.295981752073394,2.65236134141001,-0.471610127654639,-0.120089154498418,1.3690336142079,0.626522799815645,0.141138556483267,-0.391663445117141,-0.149372237569437,1.2400476212119,-0.0554214872961615,-0.783127360854806,-1.00781623740593,-0.558233073689191,-0.618899143919144,-1.11782587493941,0.105503283230975,-0.0897609452072563,-0.492879132668668,-0.930084762213414,-0.605870945686684,-0.0348356301149786,0.175250596380689,-0.270754277134643,-0.487570327066009,1.1771995988537,0.0114141851071122,1.46661261248905,0.789655069572147,0.0742959101114976,0.200966245594748,-0.660837521371757,-0.113686072889099,-0.476935863782771,1.51251434104534,1.6047416339552,-0.624407903368183,-0.332716170866638,0.571223808491755,0.849603454392796,-0.69922833559384,-0.405027480626103,0.0188309956921071
"171009_Smp_IL1DMB5um_1",-1.85526195841,0.252581372113084,-0.271765731182607,-0.520143011510628,-0.207163514452707,-0.0677612097604425,-0.801351361101454,-0.0599714485075276,0.767653675026343,-0.876974749476468,-0.820518056320497,-0.954266358150956,-0.600372628768426,1.0175205621997,-0.750870332923002,-0.611801765031549,0.181803136986301,-0.111988451547116,0.369704378482015,0.391837581700292,-0.627014260624954,-0.910105015151513,-0.316980947250247,-0.678255857325001,-0.429035449347455,-0.612745516001598,-0.0379292854323747,0.981496312743723,-0.740595607841557,-0.616045821446882,0.20794886643066,-0.723472676108897,0.116837422570581,-1.61243361946095,-0.628205284633916,-1.28788828495239,-0.409288071214747,-0.583297211639502,-0.357625973413294,-0.732645067450353,-0.683215367017991,-0.175929597129649,-0.382319855059296,0.20039395123234,-0.270257883997484,-0.420004870045816,-0.601287862012828,-0.473558140821112,-1.27615717994642,-0.0886788209967871,1.04566445816845,-0.00179723914427669,0.750851261030271,-0.366626210342468,-0.620370608800521,-0.291595269708967,-0.641714555904839,-0.851374905269796,0.298021907655569,-0.967980243244932,-0.360073469656733,-0.674576930451605,-0.289795553011957,0.800475474844379,-0.432493176909007,-0.783326406689553,0.214699371422123,-0.749871398337212,-0.356704124566981,-1.16692466208793,-1.09455662318874,-0.853252353146673,-0.563827851463304,-1.07663397173475,-0.447935236319965,0.259437064095108,-0.208986062367016,1.1153125847524,-0.499616831499762,0.546552304872049,-0.925682555352481,0.589753350092945,0.292644404438065,-0.712820146116208,-0.292063245433526,-0.181354552223977,-0.307145808309906,-0.706528917795139,0.817037961685152,0.59431302380443,-1.19991975039842,-0.103036182727397,0.239210350641055,-0.316597670588204,-1.09111819642979,-0.40199522907713,-0.385797788370187
"171009_Smp_IL1DMB5um_2",0.448123783156212,-0.0995336386320693,-0.4192440453905,-0.57837201606846,-0.594946540465097,-0.457696144631234,-0.565304302929186,0.0128077776386696,-0.26131350691156,-0.167854845148836,-0.729983647843942,-0.760144818547971,-0.666148960197518,0.0646996717879828,-0.744245964251017,-0.727988630884366,0.145995680155233,-0.526339195468266,-0.481294989907057,-0.646598758335455,-0.605738172367808,-0.826110014635674,-0.399045117511812,-0.685654007994177,-0.616775445562876,-0.77265518412156,-0.687536983358193,0.0565288052087317,0.578064607313709,-0.510083367492961,-0.746924990766917,-0.586023850995581,-0.380890762292465,0.793259827656657,-0.689130482001894,-0.440953866485716,-0.25934684325004,-0.622212691219806,-0.734384396120381,-0.534676277803314,-0.700647141899674,-0.665013629106043,-0.824644000386247,-0.0725079006718388,-0.79188187288154,-0.554057920355624,-0.524199924344605,-0.800827000024893,-0.31667595037572,-0.902308780532511,-0.582288131861429,0.0507727827974591,0.0472620937236797,-0.680854626885549,-0.729673519217348,-0.52912124030704,-0.728003071239355,-1.0448926841993,-0.368237347214871,1.27652996245034,-0.586645668659379,-0.343653929571868,-0.523467221803155,0.249621551542481,-0.587531240618171,-0.396097754103028,0.798060962512593,-0.517118058093319,-0.332263087823955,0.139054127702602,-0.183493787262099,-1.17834056364153,-0.0963519744757252,-0.532749434691494,-0.62316421893061,-1.45534190565367,-0.462715281290054,-0.645426338866327,-0.613023010617525,1.13147128654658,-0.88902717393703,1.12249545100375,0.232915420131715,-0.716289202020633,-0.306160466353591,-0.0707706955972567,-0.376323295951524,-0.805634906421247,-0.266945828239612,-0.160738562650042,-0.200874931248149,-0.281711948918905,-0.02751918820517,-0.567382751854581,-0.329351444414977,-0.451042650301513,-0.694580793284807
"171009_Smp_IL1DMB5um_3",1.99752427510256,-0.342921153980725,-0.593473673264206,-0.546624514634253,-0.406394006878107,-0.422525547496998,-0.605274211387416,-0.436540730478737,-0.570498159088009,-0.140068947971416,-0.292536022272946,-0.631685262752417,-0.758822324326197,-0.388561385700466,-0.720948441440541,-0.795018034086378,-0.401958035826878,-0.533227577101975,-0.226781045790661,-0.427198899237985,-0.474691654374111,-0.787900474204865,-0.343475658567878,-0.631417053907595,-0.529660203199834,-0.570044047321146,-0.229382442117268,0.441079703810077,-0.28614343589807,-0.501822638176802,-0.686902707564137,-0.6477557236017,-0.499029474390389,-0.991124480081863,-0.6133194069173,-1.19007113154284,-0.502854376954558,-0.5787570936901,-0.593889775193776,-0.69797991447149,-0.50873699309361,-0.388420528442856,-0.218730100066271,0.0778185240661967,-0.67732943391861,-0.27887278090528,-0.818329792075945,-0.801787097738882,-1.05385069486272,-0.502326532441325,-0.582288131861429,-0.190371449524251,-0.419600576393077,-0.722579975816578,-0.736354521262963,-0.613762805253869,-0.609742207158523,-0.968754914226255,-0.404562043938477,0.550208229157339,-0.650356840219597,-0.354287039598788,-0.70745270017754,0.309539764461081,-0.659212009377189,-0.172847402998965,0.324896238161991,0.153599223765101,-0.253392754151699,-0.00161908995884719,-0.429701091082067,-1.04250371716671,-1.7303226089683,-0.662204384411088,-0.682601860270549,0.166099383059986,-0.516256591527715,-0.649336401296743,-0.507040591199325,-1.15039896753008,-0.963153529289326,0.306662164611105,0.142431759129536,-0.597889162256561,3.74904513766879,-0.321110936089172,-0.483805406260706,-0.767991274415339,-0.0421129204855217,0.101647155152222,0.602841258010443,-0.426331039954997,-0.279220153395175,-0.687063328433027,-0.524316857067276,-0.371110408923967,-0.612424426922256
"171009_Smp_IL1DMBnoBT5um_1",1.14034991129536,1.0973348285186,0.0415649785818067,-0.274445632569739,0.0811114519200125,0.743528777372254,0.620382860556862,1.44757459668984,0.334086526069532,-0.727257972359236,0.869502059068529,1.85342661688052,1.25888149816617,1.78395590384138,1.27496019670667,0.99939931715235,1.75029376907847,0.405588503938531,0.188392265244927,0.594711157757586,0.0174397407207667,1.23777364239418,3.96561427500272,1.43188363893993,1.53618434967892,0.457523056774582,-0.516436101449157,-0.209408667140348,-0.379489121809678,0.641029512828012,0.535347103282818,0.961584593465332,0.251310123335985,1.37541820480018,1.12616810069352,-0.25837683070751,1.57507059539996,0.434674439221798,0.517558042342515,1.60535020706826,0.455421008388717,0.347307309750508,0.633518965659109,1.30773026174562,1.54646466222686,1.44824609253621,1.94700537553078,1.2881620426776,1.12460829821142,-0.191856827010328,-0.582288131861429,0.401882554835951,0.517389039206777,-0.340835911596243,1.40255010712607,0.454817493480186,0.914122535394779,0.525546367787742,0.729218424360803,-1.06583504006103,2.25476354900646,1.43397888881681,-0.996193365244429,0.182029963338711,2.49151663135674,3.06465481324555,0.760944763120816,3.14375505112666,1.59302734177144,2.2538034185802,2.22083664383091,1.29134048116724,0.721350607067856,-0.278486849259368,2.05559799930006,0.932119726003922,1.01042630526632,1.37076494031712,0.272464441340506,-0.639247008290265,1.04500226932381,0.817632190402299,-0.257959534960401,0.908456885793331,0.016130013337361,2.30985808440167,0.198801327045797,1.59105589391046,0.831130799836978,0.636504855489323,0.576509430132216,2.43573105656074,1.36402208272541,2.99251497567139,1.50687145985863,-0.320814339765719,0.860802348563879
"171009_Smp_IL1DMBnoBT5um_2",0.882326353777146,-0.416819979325824,0.0632323380334852,-0.414273330241138,-0.0495883712760739,0.322944121132862,-0.0482891022791101,0.344790999782114,-0.00991744553773913,0.751780341343385,1.74004767323157,0.0828136566355385,0.290314247620941,-0.522642905160231,0.163076820225728,0.121741224451476,0.63255268022463,0.74526789418107,0.268888609490557,0.170769507359386,-0.251177477735657,0.0898908437507488,-0.325785052654002,0.666261535810891,0.38180119693547,0.266074638028492,0.182151609410069,-0.320808579086843,-0.553302075901899,0.0190573663657468,0.193558679865744,0.415177040982229,0.216141651164598,0.424904365033931,0.0845483226473519,1.11762612195798,0.308767134939151,-0.0440371245757399,0.155325248120413,0.197592521628663,-0.278213997949927,-0.189307832503647,-0.0415174728492856,-0.141480568127579,0.555957347545365,0.336020649956614,-0.100046300984202,0.361488216780411,-0.135955879050427,-0.737457328751573,-0.582288131861429,0.685910261443557,0.219679712972836,-0.576518891622213,0.0643865337121077,0.21119553200098,0.362974309057536,-0.205884060283027,0.332751499929419,2.62906208931198,0.199034585650076,-0.04548450560387,0.189514242142152,0.707084811310754,-0.0400175195444837,-0.783372811964039,-0.119464697893347,0.898869616568823,0.595539957740162,-0.228861229976521,0.783747263221798,0.0289544287992613,-0.417214422501391,-0.463471089113375,0.111267136486395,0.0401043001782114,0.740210788667799,-0.827689891201779,-0.377622521503298,0.127154168957967,-0.199752995669508,-0.0376187299594427,-0.00262584235279239,0.545792608339847,0.0749490572052562,0.449459621572856,0.917124940365223,0.560690208046365,-0.176351625044658,-0.026155682094896,0.206468248030126,0.668082610117956,-0.194144394340581,0.0404775558670944,0.287129707863036,-0.359009821326557,0.167475801850826
"171009_Smp_IL1DMBnoBT5um_3",0.682670344807358,0.0442898208338023,0.319848270929259,-0.320349753586208,0.125257777369127,0.677788796206338,0.270969468609328,1.51825360518048,0.8257997800623,-0.911296889430537,0.508576706448954,0.259988204906382,1.03360267143887,0.157185294245191,0.863225354442854,0.941904260333927,0.72704956633597,1.46396106751867,0.287376946708964,0.0102121553229806,0.0889464139362646,0.385505347994927,-0.126996931971175,1.05111961675545,0.81878946780765,0.668203988023111,0.57022230365826,0.290060333782755,-0.68716396034348,0.274906074634562,0.522682816124505,1.0189383325727,0.125585788417994,-1.17694068066753,0.466468547167288,1.66137155729366,1.81397122815715,0.282227013904306,0.584914538357114,1.12080731793064,0.297989277635006,0.213001941080916,0.23065045607391,2.47468380703626,1.47254050331993,0.754121647906264,0.598757260335611,0.681612392909944,0.570830912183744,0.223876017817097,-0.582288131861429,1.58591948183358,0.930962216495254,-0.514211215174027,0.247563633603099,0.60697885166755,0.677570855101668,0.445552873863251,0.680246128403208,-0.0260490148416035,1.07951009227371,1.77694012346453,0.737386560424163,0.374631892823534,0.990496934667045,-0.433867605999989,1.3715058259638,0.768239777909328,0.825250041390644,1.57791353139948,0.79395451955682,1.30632882060379,0.619810598812567,1.48196289120198,0.970777819300193,2.88842961856472,0.753193944115293,-0.831041419393404,-0.219223078627523,-0.221499685641575,0.687370209814509,1.0119722995467,1.71016632185101,0.337491778306826,0.406309461126321,1.41077486540354,0.642598553399688,1.54319476185163,0.642838041890653,0.443953814138385,1.86993655172293,1.05210712966731,0.372722647227801,0.678731580323358,1.34134955945511,0.829927797110394,0.513861819860068
"171009_Smp_IL1DSW5um_1",0.761610727969346,-0.91954274985449,0.643575378679692,-0.400932542193528,1.26387976568833,0.802580418406228,0.256027246209679,0.106962957553711,1.41314099548562,1.21179734614697,0.201280763846342,0.766235563188547,1.12314166657298,-0.619001957603889,0.779703800727286,0.868290969737716,-0.287068669262733,-0.11293847594268,-0.0265542046538335,0.70612722207033,-0.0188651121653276,0.681658540544082,-0.330815883952772,-0.104462367574653,0.525276346591412,0.468283740110885,0.662008424394179,0.71379439884077,-1.34864006836283,1.64888971671211,0.428699145678841,0.863911777927496,-0.327589289099869,-1.1317708681538,1.03249245442404,0.733571810027119,0.873548853665103,1.51052332714171,0.962246052180912,1.0883604285745,-0.0206499767489549,1.28461179154277,0.744182065926181,0.841725128620045,0.463579738684207,0.318583935301401,0.263359076399346,0.945322107680996,1.02138282397777,-1.16826466708485,3.37470335869436,-0.0565679379049141,1.64800201303521,-0.68741993108539,0.753358261168803,0.377647483673371,1.25463779410472,1.56648876530328,-0.150615657442765,-0.62189695473066,0.663828095620544,0.968205392966531,-0.696624802933577,0.411814085714792,0.53384675337066,-0.422669965902491,-0.540082926956197,0.690808776515906,-0.813752804266615,-0.558584546961229,0.620995231288551,0.347205963721657,0.306623819579401,0.37080945087143,1.12687699802673,0.212687937580439,0.0337971439472006,-0.520228654136081,0.991813122031751,0.185754115600635,0.143890809527295,0.271124340979636,-0.540731041332093,1.27478344095194,-0.500437408481036,0.549541884698587,1.05246614297009,0.655852983087871,0.595458420072991,1.04907642303275,0.248614656658246,-0.355945672379208,-0.805401420054913,0.0809808216613027,0.484830874045498,0.619802782276404,1.26727772415929
