"","Mass.Feature","Replicate.Name","Adjusted.Area"
"1","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2Control5um_1",269669.129032258
"2","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2Control5um_2",190108.096774194
"3","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2Control5um_3",330432.548387097
"4","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DMB5um_1",372090.580645161
"5","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DMB5um_2",214907.774193548
"6","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DMB5um_3",176406.064516129
"7","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DMBnoBT5um_1",292920.580645161
"8","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DMBnoBT5um_2",251664.806451613
"9","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DMBnoBT5um_3",247831.193548387
"10","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DSW5um_1",359423.193548387
"11","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DSW5um_2",271296.870967742
"12","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DSW5um_3",224987.612903226
"13","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2noBT5um_1",289759.580645161
"14","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2noBT5um_2",195547.935483871
"15","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2noBT5um_3",271309.967741935
"16","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2WBT5um_1",233406.032258065
"17","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2WBT5um_2",288666.935483871
"18","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2WBT5um_3",196965.193548387
"19","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2IT05um_1",192917.35483871
"20","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2IT05um_2",281790.193548387
"21","2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2IT05um_3",370685.483870968
"22","4-Hydroxyisoleucine","171023_Smp_IL2Control5um_1",66379256.2580645
"23","4-Hydroxyisoleucine","171023_Smp_IL2Control5um_2",54651674.9677419
"24","4-Hydroxyisoleucine","171023_Smp_IL2Control5um_3",102435536.258065
"25","4-Hydroxyisoleucine","171023_Smp_IL2DMB5um_1",72016422.1935484
"26","4-Hydroxyisoleucine","171023_Smp_IL2DMB5um_2",71193465.8064516
"27","4-Hydroxyisoleucine","171023_Smp_IL2DMB5um_3",100732334.451613
"28","4-Hydroxyisoleucine","171023_Smp_IL2DMBnoBT5um_1",53403185.6774193
"29","4-Hydroxyisoleucine","171023_Smp_IL2DMBnoBT5um_2",48849774.0645161
"30","4-Hydroxyisoleucine","171023_Smp_IL2DMBnoBT5um_3",58659620.9032258
"31","4-Hydroxyisoleucine","171023_Smp_IL2DSW5um_1",95291687.483871
"32","4-Hydroxyisoleucine","171023_Smp_IL2DSW5um_2",79584396.9032258
"33","4-Hydroxyisoleucine","171023_Smp_IL2DSW5um_3",80294578.8387097
"34","4-Hydroxyisoleucine","171023_Smp_IL2noBT5um_1",51540472.6451613
"35","4-Hydroxyisoleucine","171023_Smp_IL2noBT5um_2",82959443.0967742
"36","4-Hydroxyisoleucine","171023_Smp_IL2noBT5um_3",85673783.2258064
"37","4-Hydroxyisoleucine","171023_Smp_IL2WBT5um_1",67636232.2580645
"38","4-Hydroxyisoleucine","171023_Smp_IL2WBT5um_2",87849890.8387097
"39","4-Hydroxyisoleucine","171023_Smp_IL2WBT5um_3",45966223.6129032
"40","4-Hydroxyisoleucine","171023_Smp_IL2IT05um_1",44490995.483871
"41","4-Hydroxyisoleucine","171023_Smp_IL2IT05um_2",61515110.5806452
"42","4-Hydroxyisoleucine","171023_Smp_IL2IT05um_3",64702412.6451613
"43","Acetyl-L-carnitine","171023_Smp_IL2Control5um_1",75332877.1612903
"44","Acetyl-L-carnitine","171023_Smp_IL2Control5um_2",48708186.7096774
"45","Acetyl-L-carnitine","171023_Smp_IL2Control5um_3",99130853.4193548
"46","Acetyl-L-carnitine","171023_Smp_IL2DMB5um_1",42994105.2903226
"47","Acetyl-L-carnitine","171023_Smp_IL2DMB5um_2",57774181.6774193
"48","Acetyl-L-carnitine","171023_Smp_IL2DMB5um_3",57379111.8709677
"49","Acetyl-L-carnitine","171023_Smp_IL2DMBnoBT5um_1",62835321.5483871
"50","Acetyl-L-carnitine","171023_Smp_IL2DMBnoBT5um_2",62338209.1612903
