"","Mass.Feature","171002_Smp_IL1Control_1","171002_Smp_IL1Control_2","171002_Smp_IL1Control_3","171002_Smp_IL1DMB_1","171002_Smp_IL1DMB_2","171002_Smp_IL1DMB_3","171002_Smp_IL1DMBnoBT_1","171002_Smp_IL1DMBnoBT_2","171002_Smp_IL1DSW_1","171002_Smp_IL1DSW_3","171002_Smp_IL1IT0_1","171002_Smp_IL1IT0_2","171002_Smp_IL1IT0_3","171002_Smp_IL1noBT_1","171002_Smp_IL1noBT_2","171002_Smp_IL1noBT_3","171002_Smp_IL1WBT_1","171002_Smp_IL1WBT_2","171002_Smp_IL1WBT_3","WvnoB12_pvalue","WvnoB12_qvalue","WvnoB12_FC","WB12_ave","noB12_ave","B12vnoB12Sig","AveSmp","WDMBvnoDMB_pvalue","WDMBvnoDMB_qvalue","WDMBvnoDMB_FC","WDMBave","noDMBave","DMBvnoDMBSig","T0vTF_pvalue","T0vTF_qvalue","T0vTF_FC","T0_ave","TF_ave","T0vTFSig","T0vDSW_pvalue","T0vDSW_qvalue","T0vDSW_FC","T02_ave","DSW_ave","T0vDSWSig"
"1","2-Hydroxy-4-(methylthio)butyric",266018.870967742,239583.967741935,301884.387096774,240229.451612903,289775.483870968,249893,277510.35483871,218812.483870968,218098.709677419,156285.677419355,329854.419354839,273026.580645161,250030.516129032,292626.838709677,294132.032258064,286261.806451613,260637.967741935,182323,210906.709677419,0.0840934912248945,0.6340928117215,-0.417017115930686,217955.892473118,291006.892473118,FALSE,254481.392473118,0.763463659681626,0.867824630922933,0.0670439884722758,259965.978494624,248161.419354839,FALSE,0.640030953214376,0.873755447754446,0.0789566423297083,284303.838709677,269162.40860215,FALSE,0.121454079679721,0.639372443271102,0.602913306961723,284303.838709677,187192.193548387,FALSE
"2","4-Hydroxyisoleucine",37845258.1935484,37545016.516129,17200508.0645161,29693425.5483871,42627178.5806452,50085465.9354839,45263188.7741935,44064867.6129032,25231455.6129032,27460562.1290323,52078585.4193548,48836220.7741935,63537914.8387097,61250701.6774193,46184700.2580645,30271008.2580645,43107590.7096774,42775669.8064516,50276465.5483871,0.960125756075985,0.983261316463358,-0.016295678446184,45386575.3548387,45902136.7311828,FALSE,45644356.0430107,0.583862692648111,0.763512751924453,-0.130472675313342,40802023.3548387,44664028.1935484,FALSE,0.0512256325015284,0.545457154915403,0.828732390818782,54817573.6774193,30863594.2580645,FALSE,0.0189120745835652,0.267921056600507,1.05705404727919,54817573.6774193,26346008.8709677,FALSE
"3","Acetyl-L-carnitine",8092453.74193548,8934676.41935484,27939894.7096774,7351609.4516129,4160712.32258064,3663987.22580645,10566032.1290323,8098252.80645161,14058136.3548387,30954951.7419355,6527740.03225806,15437336.1290323,13902701.9677419,9061007.90322581,7519308.96774194,20413404.9677419,14696685.483871,10485977.1612903,9530185.80645161,0.874381547196456,0.929030393896234,-0.0918106993683037,11570949.483871,12331240.6129032,FALSE,11951095.0483871,0.100582415348084,0.407119300218436,-0.883421779593852,5058769.66666666,9332142.46774196,FALSE,0.698634186760764,0.880443215193207,-0.326179056258222,11955926.0430108,14989008.2903226,FALSE,0.417184321809822,0.738763903204894,-0.912618665443722,11955926.0430108,22506544.0483871,FALSE
"4","Aconitic Acid",416572.838709677,497963.677419355,44569.2580645161,6981.51612903226,36601.7419354839,49021.2258064516,76448.6774193548,67916.1290322581,45123.064516129,664390.935483871,74783.5161290323,475180.903225806,184278.161290323,19001.5483870968,169247.741935484,85688.4516129032,454600.258064516,79776.1935483871,25310.4516129032,0.560338731812499,0.816446631908308,1.03077194089971,186562.301075269,91312.5806451613,FALSE,138937.440860215,0.0687890503610159,0.332219454190198,-1.22552762766587,30868.1612903226,72182.4032258065,FALSE,0.704640594729677,0.880443215193207,-0.385433147939224,244747.52688172,319701.924731183,FALSE,0.785612926745985,0.893834703651408,-0.535536869764122,244747.52688172,354757,FALSE
"5","Adenine",46416187.6129032,54011762.8387097,37956318.8387097,33183891.7419355,63449230.9677419,83877474.5806452,93115100.9032258,145487409.548387,67338965.4193548,160878469.16129,93472904.7741935,62906074.0645161,60386018.9677419,125468241.806452,182562626.064516,118751871.741935,65724836.6451613,17050355.4193548,114583213.419355,0.0989717341744089,0.6340928117215,-1.11268386553982,65786135.1612904,142260913.204301,FALSE,104023524.182796,0.214170892526809,0.541750473012272,-0.987488186788055,60170199.0967742,119301255.225806,FALSE,0.118322600819016,0.545457154915403,0.647451860670967,72254999.2688172,46128089.7634409,FALSE,0.5318055824204,0.801677131563997,-0.659239694794326,72254999.2688172,114108717.290322,FALSE
"6","Adenosine",8056550.80645161,13162694.9354839,18694894.9032258,6281242.83870968,12309159.4516129,20954138.9677419,19550147.9354839,39298502.4516129,14733241.3870968,15681762.1612903,5129987.74193548,3774248.03225806,4293652.06451613,53016583.8709677,35353948.6451613,30681708.1290323,9375499.80645161,11372131.0967742,78709120.7741935,0.805834541571889,0.881396036482311,-0.259453555719199,33152250.5591398,39684080.2150538,FALSE,36418165.3870968,0.319656329956693,0.571762177267846,-1.15849327180897,13181513.7526882,29424325.1935484,FALSE,0.0989021541751363,0.545457154915403,-1.59659288779122,4399295.94623656,13304713.5483871,FALSE,0.00165050675489554,0.0800346258540486,-1.78943861096642,4399295.94623656,15207501.7741935,TRUE
"7","Alanine",2182917.42544665,1454336.99220451,1856786.49160643,1564967.0439964,2110926.12779806,1973635.55390077,2830909.08165256,2374077.687586,2772954.85885337,2163067.19966138,1507990.40365707,1750185.29294013,1470066.46186388,1894031.82762061,2557444.42204729,3237980.33606318,1316173.234001,2011989.5746229,1970722.93290257,0.167729705510944,0.650820895217268,-0.53719262719663,1766295.24717549,2563152.19524369,FALSE,2164723.72120959,0.123181481317085,0.41881703647809,-0.466726471684469,1883176.24189841,2602493.38461928,FALSE,0.353743719946055,0.77771836382724,-0.216563727422509,1576080.71948703,1831346.96975253,FALSE,0.187661771657521,0.639372443271102,-0.647007416957371,1576080.71948703,2468011.02925737,FALSE
"8","Allopurinol",1265520.70967742,1512213.41935484,5488450.19354839,951020.387096774,1150589.96774194,1442659.25806452,1303220.70967742,3120724.61290323,4135230.67741935,7479298.32258064,1307088.93548387,1484727.03225806,1105251.74193548,3590008.22580645,2843156.25806452,5470361.67741935,1295959.48387097,2644349.09677419,3293298.93548387,0.19214096509403,0.68049925137469,-0.718601777015739,2411202.50537634,3967842.05376344,FALSE,3189522.27956989,0.456972315898997,0.669700807783013,-0.904807701516338,1181423.20430108,2211972.66129033,FALSE,0.398708605126002,0.792002601719357,-1.08483253598683,1299022.56989247,2755394.77419355,FALSE,0.224825117135513,0.639372443271102,-2.16043224796839,1299022.56989247,5807264.5,FALSE
"9","Amino Propanesulfonic Acid",6515837.7830304,7555810.4521336,10492575.033959,6112851.84069715,7690339.34689181,4829157.44527377,6370235.35994155,6606147.83825854,6355267.62439086,6285585.78544489,9155061.90625176,9083296.61871469,8691657.93931537,8732667.71087797,8481289.15711611,9188262.8588002,8213817.16271865,7087390.94354407,5482193.82723489,0.134278477776318,0.6340928117215,-0.34522740581972,6927800.6444992,8800739.90893143,FALSE,7864270.27671531,0.770421574531569,0.867824630922933,-0.063041290013473,6210782.87762091,6488191.59910004,FALSE,0.576732963446884,0.859116245106479,0.132656490666894,8976672.15476061,8188074.423041,FALSE,0.00188316766715409,0.0800346258540486,0.506158745051079,8976672.15476061,6320426.70491788,TRUE
"10","Aminobutyric Acid",16834395.3450052,15574067.1274541,14703265.7935209,13600480.2050068,10934600.9203,13260341.6879008,11600140.6100269,12243418.5210354,14212184.5587514,13838919.7649632,14497150.6892378,16432844.2779593,14871729.0511863,12244553.7959712,14177738.2210866,13521164.5165838,16273088.1536462,14622681.691655,12805740.8206759,0.352292744034069,0.816446631908308,0.129723968649928,14567170.2219924,13314485.5112139,FALSE,13940827.8666031,0.514873336415186,0.717446452381817,0.0796494246412155,12598474.2710692,11921779.5655311,FALSE,0.637159798785587,0.873755447754446,-0.040684353701209,15267241.3394611,15703909.4219934,FALSE,0.163502275405589,0.639372443271102,0.122381834597731,15267241.3394611,14025552.1618573,FALSE
"11","AMP",596503.068880557,225652.291851841,255014.71486101,165306.277747535,409177.236516192,674906.180423394,698076.38303366,917161.374791887,816793.611306184,974721.506103183,255162.38283507,289463.102748903,310741.057956059,688354.255531181,809667.384073234,717892.384950248,282769.222323072,265072.756942158,197418.627860162,0.000673999981828465,0.0572899984554195,-1.57208499819285,248420.202375131,738638.008184888,TRUE,493529.105280009,0.122971989152258,0.41881703647809,-0.955485506045265,416463.231562374,807618.878912773,FALSE,0.59896725944824,0.862918933103396,-0.332631372165873,285122.181180011,359056.691864469,FALSE,0.071611750462664,0.553363526302404,-1.65152803382708,285122.181180011,895757.558704684,FALSE
"12","Arginine",2691400.05075863,1541848.7750964,1779933.01839065,958976.075056451,1161504.25141257,1981586.27185027,2925223.98420865,3415855.36526765,4328330.28305664,6949710.85842315,1364800.29622859,3202746.78456033,2007533.36457505,2987295.18107323,3489108.4022995,4685912.51948174,2620323.70701948,2444432.419874,2260182.90804093,0.121003818632312,0.6340928117215,-0.607747750175722,2441646.34497814,3720772.03428482,FALSE,3081209.18963148,0.020481257335246,0.181870581855295,-1.21334001632055,1367355.5327731,3170539.67473815,FALSE,0.787363610094512,0.893101525788822,0.128879958081533,2191693.48178799,2004393.94808189,FALSE,0.193322266989503,0.639372443271102,-1.36339856080617,2191693.48178799,5639020.5707399,FALSE
"13","Arsenobetaine",7690004,6108380,1466417,4228549,6580603,7895791,8212356,6664828,4127153,4958673,8057288,6868614,9459250,10888880,8780973,4623030,7636196,7428477,13271870,0.638506895208839,0.861477557027799,0.222130048692769,9445514.33333333,8097627.66666667,FALSE,8771571,0.429924364317838,0.641115280123092,-0.254644405632941,6234981,7438592,FALSE,0.240346117598643,0.641074900528644,0.675794183221178,8128384,5088267,FALSE,0.0269625435739535,0.286477025473256,0.839350882293058,8128384,4542913,FALSE
"14","Asparagine",445328.7,509368.2,82504.06,74878.94,179474.5,215644,512425.3,427455.3,514098.9,1029899,234156.3,934638.2,591199.6,409944.9,733814.1,439127.4,468534.3,491980.3,354798.2,0.490110293922754,0.816446631908308,-0.267151786771343,438437.6,527628.8,FALSE,483033.2,0.0183199301261918,0.181870581855295,-1.58478709422085,156665.813333333,469940.3,FALSE,0.383932479721873,0.792002601719357,0.762875145930425,586664.7,345733.653333333,FALSE,0.624252080703018,0.836613554804421,-0.396062698563831,586664.7,771998.95,FALSE
"15","Aspartic acid",2440215,1199567,394843,367307.8,805727.4,924778.6,1125288,914351.1,1098086,2070134,1159201,2398787,1518604,1293636,1485393,855520.1,1195326,952811.7,1215601,0.691070185043583,0.877697849593099,-0.111710756011388,1121246.23333333,1211516.36666667,FALSE,1166381.3,0.207888001464509,0.541750473012272,-0.544389769284135,699271.266666667,1019819.55,FALSE,0.650477603870664,0.873755447754446,0.331425729138287,1692197.33333333,1344875,FALSE,0.874758632954573,0.906761997574862,0.0952252971299953,1692197.33333333,1584110,FALSE
"16","Betaine",1843656522,1551635877,1417916585,1209029413,1597477401,2085115417,2955784415,2722077853,1611535942,2029113550,1322054185,1306296027,1552062637,3385161513,3367742654,3324510307,1442939656,1913074275,3995084544,0.366172083284087,0.816446631908308,-0.455093786073615,2450366158.33333,3359138158,FALSE,2904752158.16667,0.0281403370927326,0.217448059352933,-0.799997361644745,1630540743.66667,2838931134,FALSE,0.241345844904901,0.641074900528644,-0.203353637876958,1393470949.66667,1604402994.66667,FALSE,0.260154694878261,0.639536825074191,-0.385512924007281,1393470949.66667,1820324746,FALSE
"17","Butyryl-L-carnitine",1209837,965995.6,1036291,1458142,909024.6,659949.3,1526437,1102264,1258566,1182487,1837541,4133316,2268277,1722375,1221546,1091981,4005647,1786119,1078078,0.396893181607814,0.816446631908308,0.767386195516804,2289948,1345300.66666667,FALSE,1817624.33333333,0.410439909389613,0.622989148180663,-0.381368640461489,1009038.63333333,1314350.5,FALSE,0.139045986644824,0.545457154915403,1.3589652986952,2746378,1070707.86666667,FALSE,0.162327122150899,0.639372443271102,1.17002658650295,2746378,1220526.5,FALSE
"18","Carnitine",67270638,61851507,60015687,44812634,51417258,75685031,95602844,90743013,73502262,105411939,40469092,55189646,56086906,100216262,101992169,122549323,62838001,65808858,66013826,0.0243144676332137,0.516682437205792,-0.738402435298434,64886895,108252584.666667,FALSE,86569739.8333333,0.0546419694870833,0.320731806594818,-0.701250462151851,57304974.3333333,93172928.5,FALSE,0.118026899992064,0.545457154915403,-0.317782861807804,50581881.3333333,63045944,FALSE,0.223375590777789,0.639372443271102,-0.822575300866074,50581881.3333333,89457100.5,FALSE
"19","Choline",8357422,10137222,16195579,8377050,10962892,23470452,14427028,30821028,14583466,12738833,7424708,16252283,6897607,19753902,19737336,17537915,9927791,38754560,15843246,0.803270673857983,0.881396036482311,0.178171978517086,21508532.3333333,19009717.6666667,FALSE,20259125,0.484846769827606,0.686866257255775,-0.664857198237964,14270131.3333333,22624028,FALSE,0.740684209633625,0.893101525788822,-0.182195584687265,10191532.6666667,11563407.6666667,FALSE,0.373400968591482,0.738115594376468,-0.422707853112495,10191532.6666667,13661149.5,FALSE
