,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,171002_Blk_ProcessBlk_1,171002_Blk_ProcessBlk_2,171002_Blk_ProcessBlk_3,171002_Poo_Sept29QC_1,171002_Poo_TruePooWeek1_Full1,171002_Poo_TruePooWeek1_Full2,171002_Poo_TruePooWeek1_Full3,171002_Poo_TruePooWeek1_Full4,171002_Poo_TruePooWeek1_Half1,171002_Poo_TruePooWeek1_Half2,171002_Poo_TruePooWeek1_Half3,171002_Poo_TruePooWeek1_Half4,171002_Poo_TruePooWeek1Neg_dda1,171002_Poo_TruePooWeek1Neg_dda2,171002_Poo_TruePooWeek1Neg_dda3,171002_Poo_TruePooWeek1Neg_dda4,171002_Smp_IL1Control_1,171002_Smp_IL1Control_2,171002_Smp_IL1Control_3,171002_Smp_IL1DMB_1,171002_Smp_IL1DMB_2,171002_Smp_IL1DMB_3,171002_Smp_IL1DMBnoBT_1,171002_Smp_IL1DMBnoBT_2,171002_Smp_IL1DSW_1,171002_Smp_IL1DSW_3,171002_Smp_IL1noBT_1,171002_Smp_IL1noBT_2,171002_Smp_IL1noBT_3,171002_Smp_IL1WBT_1,171002_Smp_IL1WBT_2,171002_Smp_IL1WBT_3,171002_Smp_IT0_1,171002_Smp_IT0_2,171002_Smp_IT0_3,171002_Std_4uMStdinH20_1a,171002_Std_4uMStdinH20_2,171002_Std_4uMStdinMatrix_1,171002_Std_4uMStdinMatrix_2,171009_Blk_ProcessBlk_1,171009_Blk_ProcessBlk_2,171009_Blk_ProcessBlk_3,171009_Poo_Sept29QC_1,171009_Poo_TruePooWeek2_Full1,171009_Poo_TruePooWeek2_Full2,171009_Poo_TruePooWeek2_Full3,171009_Poo_TruePooWeek2_Full4,171009_Poo_TruePooWeek2_Half1,171009_Poo_TruePooWeek2_Half2,171009_Poo_TruePooWeek2_Half3,171009_Poo_TruePooWeek2_Half4,171009_Smp_DSW700m_1,171009_Smp_DSW700m_2,171009_Smp_DSW700m_3,171009_Smp_IL1Control5um_1,171009_Smp_IL1Control5um_2,171009_Smp_IL1Control5um_3,171009_Smp_IL1DMB5um_1,171009_Smp_IL1DMB5um_2,171009_Smp_IL1DMB5um_3,171009_Smp_IL1DMBnoBT5um_1,171009_Smp_IL1DMBnoBT5um_2,171009_Smp_IL1DMBnoBT5um_3,171009_Smp_IL1DSW5um_1,171009_Smp_IL1DSW5um_2,171009_Smp_IL1DSW5um_3,171009_Smp_IL1noBT5um_1,171009_Smp_IL1noBT5um_2,171009_Smp_IL1noBT5um_3,171009_Smp_IL1WBT5um_1,171009_Smp_IL1WBT5um_2,171009_Smp_IL1WBT5um_3,171009_Smp_IT05um_1,171009_Smp_IT05um_2,171009_Smp_IT05um_3,171009_Std_4uMStdinH20_1,171009_Std_4uMStdinH20_2,171009_Std_4uMStdinMatrix_1,171009_Std_4uMStdinMatrix_2,171016_Blk_ProcessBlk_1,171016_Blk_ProcessBlk_2,171016_Blk_ProcessBlk_3,171016_Poo_Sept29QC_1,171016_Poo_TruePooWeek3_Full1,171016_Poo_TruePooWeek3_Full2,171016_Poo_TruePooWeek3_Full3,171016_Poo_TruePooWeek3_Full4,171016_Poo_TruePooWeek3_Half1,171016_Poo_TruePooWeek3_Half2,171016_Poo_TruePooWeek3_Half3,171016_Poo_TruePooWeek3_Half4,171016_Poo_TruePooWeek3Neg_dda1,171016_Poo_TruePooWeek3Neg_dda2,171016_Poo_TruePooWeek3Neg_dda3,171016_Poo_TruePooWeek3Neg_dda4,171016_Smp_DSW700m_1,171016_Smp_DSW700m_2,171016_Smp_DSW700m_3,171016_Smp_IL2Control_1,171016_Smp_IL2Control_2,171016_Smp_IL2Control_3,171016_Smp_IL2DMB_1,171016_Smp_IL2DMB_2,171016_Smp_IL2DMB_3,171016_Smp_IL2DMBnoBT_1,171016_Smp_IL2DMBnoBT_2,171016_Smp_IL2DMBnoBT_3,171016_Smp_IL2DSW_1,171016_Smp_IL2DSW_2,171016_Smp_IL2DSW_3,171016_Smp_IL2noBT_1,171016_Smp_IL2noBT_2,171016_Smp_IL2noBT_3,171016_Smp_IL2WBT_1,171016_Smp_IL2WBT_2,171016_Smp_IL2WBT_3,171016_Smp_IT0_1,171016_Smp_IT0_2,171016_Smp_IT0_3,171016_Std_4uMStdinH20_1,171016_Std_4uMStdinH20_2,171016_Std_4uMStdinMatrix_1,171016_Std_4uMStdinMatrix_2,171023_Blk_ProcessBlk_1,171023_Blk_ProcessBlk_2,171023_Blk_ProcessBlk_3,171023_Poo_Sept29QC_1,171023_Poo_TruePooWeek4_Full1,171023_Poo_TruePooWeek4_Full2,171023_Poo_TruePooWeek4_Full3,171023_Poo_TruePooWeek4_Full4,171023_Poo_TruePooWeek4_Half1,171023_Poo_TruePooWeek4_Half2,171023_Poo_TruePooWeek4_Half3,171023_Poo_TruePooWeek4_Half4,171023_Poo_TruePooWeek4Neg_dda1,171023_Poo_TruePooWeek4Neg_dda2,171023_Poo_TruePooWeek4Neg_dda3,171023_Poo_TruePooWeek4Neg_dda4,171023_Smp_IL2Control5um_1,171023_Smp_IL2Control5um_2,171023_Smp_IL2Control5um_3,171023_Smp_IL2DMB5um_1,171023_Smp_IL2DMB5um_2,171023_Smp_IL2DMB5um_3,171023_Smp_IL2DMBnoBT5um_1,171023_Smp_IL2DMBnoBT5um_2,171023_Smp_IL2DMBnoBT5um_3,171023_Smp_IL2DSW5um_1,171023_Smp_IL2DSW5um_2,171023_Smp_IL2DSW5um_3,171023_Smp_IL2noBT5um_1,171023_Smp_IL2noBT5um_2,171023_Smp_IL2noBT5um_3,171023_Smp_IL2WBT5um_1,171023_Smp_IL2WBT5um_2,171023_Smp_IL2WBT5um_3,171023_Smp_IT05um_1,171023_Smp_IT05um_2,171023_Smp_IT05um_3,171023_Std_4uMStdinH20_1,171023_Std_4uMStdinH20_2,171023_Std_4uMStdinMatrix_1,171023_Std_4uMStdinMatrix_2
0,8.563,80.87661,Unknown,[M-H]-,,0.122,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,82.45,171009_Poo_TruePooWeek2_Full1,80.87661:80808 81.87996:0 82.88332:0,,0,0,0,942001,577743,100793,26077,43263,149598,6182,23758,8592,461701,111042,10584,156552,112551,461290,140631,288773,36437,117084,160152,72823,15093,404583,61926,67716,26013,34241,48088,23963,144771,50448,235212,0,0,87133,9854,0,0,0,730937,1106720,303542,69135,217694,745436,35143,29564,52489,192307,128823,42528,899591,475083,820690,26078,397933,114973,493132,80562,88795,272620,180991,1008343,1082358,712909,94151,183170,190107,157280,531156,441689,144968,0,0,615638,276738,0,0,4029,556171,195232,42382,132958,551385,249396,11864,59059,267166,12704,21790,401056,568782,333081,82198,56754,44902,80831,27932,7436,259089,19523,35466,34352,417981,27475,121457,448571,484870,350330,44203,49648,5002,186519,327384,38333,18090,0,5901,75194,163143,0,0,0,472335,932420,92913,205484,390267,388908,62545,206696,38392,184214,73857,346387,215278,239373,521897,375205,811559,443232,372394,124256,524196,169756,70447,217158,600756,253696,571518,35026,357460,53124,120776,63485,114171,305385,0,0,752380,51658
1,8.566,80.91562,Unknown,[M-H2O-H]-,adduct linked to 496_[M+FA-H]-; similar chromatogram in higher mz_430; similar chromatogram in higher mz_454; similar chromatogram in higher mz_468; similar chromatogram in higher mz_481; similar chromatogram in higher mz_1001; similar chromatogram in higher mz_1402,1,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,687.71,171002_Poo_TruePooWeek1Neg_dda1,80.91563:69899672 81.91898:0 82.92234:0,58.88734:19995 58.98876:19677 65.21379:20307 80.72942:22431 80.848:83810 80.8773:272006 80.91566:132771576 80.95292:193657 80.95587:57552 80.96394:316028 80.9823:42223 81.0446:96441 81.10257:25454,31196516,11127104,20030868,2810098432,2578070528,2400841984,2628342528,2829033984,1431487488,1365820416,1456924800,1602275328,2315878144,2297702400,2481429504,1218194944,2560405248,2430104064,2366100992,2633092352,2416187648,2546546432,2530244096,2393252864,2646943744,2026763136,2146452096,2270262528,2792716800,2276081152,2976046592,2466212864,3326126336,2443454208,3562426880,9147599,9692521,911506432,879017472,31883430,11777372,21832652,22001772,3490104576,3630758400,3823074304,4376451072,1985728896,2044783104,2195905792,2407090688,2469291008,2203950336,2288106496,3467177472,3672632576,3807349760,3600962304,4787963904,6866145,4622628864,4308942336,4359877120,4388654080,4001191168,3530306048,3399422720,3656871680,3966624768,3693817856,4236010496,3532286464,4450598912,3481017344,4104300800,6349856,9011774,1380625024,1209551872,33567040,13065728,22245856,2271421440,2271520512,2198588160,2475341824,2723462144,1205574016,1248076928,1405615872,1588985088,2067440768,2166356480,2382024192,2690292992,2259254528,2199474688,2450198,2236503552,2655993856,2004005376,2165578752,2614195968,2251253248,2415507456,2315964672,3044270080,2110551424,2301292032,2684689664,2835494144,2079484544,2370038784,2067745408,1985619968,2645100032,2596628480,2025208064,1951489536,8702755,9785723,822726592,915070720,38792780,14907455,26855946,3001891328,3692593408,3934466048,4417863168,5049475584,2061941632,2269452800,2511047680,2796079104,3460755200,3803709696,4421080064,5111008768,4253176320,5101789184,4249050368,3736413952,4569165312,4255572992,3885340928,3462725888,4464274944,4034412800,4578778112,4995848704,4358276608,3535093504,3843674368,3931601152,4613112320,3655030528,3960505600,3821894912,3920911872,8683416,6944034,1684338688,1346057600
2,14.783,80.91563,Unknown,[M+Na-2H]-,similar chromatogram in higher mz_9; adduct linked to 73_[M+Cl]-,0.171,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,10.68,171009_Smp_IL1Control5um_2,80.91563:377277 81.91898:0 82.92234:0,,577491,855445,488696,1556898,767632,663203,1171540,183299,64282,68321,156812,2973960,512742,171424,214436,455577,913280,1399395,706218,4086162,350919,850034,938312,218700,134296,390274,607240,675804,2789114,229006,2007372,371689,5128660,4212079,296052,92170,219268,53317,335436,953326,553787,763092,6806058,5082844,6183386,4361936,3846360,7859072,128480,692849,2234370,3856786,983021,3800771,9785359,5280398,3380352,4564229,778806,924849,2626716,5758092,2267801,3946814,6158327,5558857,3580536,3357257,2989898,8458489,4165278,2172510,3052082,1840260,4190065,621992,548809,1652349,1635772,1063578,489452,754461,8435532,6661739,1617485,760301,2266958,867178,163285,221502,2049328,571939,844895,795321,1493834,547733,1962230,3507718,1536123,873328,1501716,713117,1497262,1187786,1623924,1882326,2004691,1541595,3292178,2763497,1662450,3962234,1756829,4192644,1030984,1377498,4791004,2475491,83079,233917,566899,854307,1124786,592889,1176336,851431,5893313,4269249,2129464,4538373,7512718,883022,811036,775582,2091784,993257,141923,848349,3464707,1337524,1520890,7075113,5583976,2714678,5231244,3444528,5775364,4242808,1935906,2582917,2675034,4367472,4024330,967750,1335488,1348657,1027960,2394136,1148275,1419951,148176,415992,4373010,728847
3,10.896,80.91566,Unknown,[M-H]-,,0.762,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,40.19,171002_Poo_TruePooWeek1Neg_dda1,80.91566:571385 81.91901:0 82.92237:0,57.4265:1296 58.57221:1157 63.41672:1192 72.62253:1148 73.21017:1146 80.91567:1645079 80.95287:1813 80.96407:2618 81.28577:1237,2305425,4223074,1880730,17895916,23706912,18518566,13979589,15383391,8586207,1261735,5623292,2104137,12740846,8928927,8611315,6704204,23564498,23378396,21170744,13598174,15295593,23230990,8570478,18563700,14985126,19365948,19737612,16660395,20037536,20472776,15396160,19536974,23445836,23961842,15537387,681424,299576,4479102,2142535,2772280,2489100,618543,4257216,20198622,20822284,4250439,3683458,18442126,16647129,7769598,8332414,15762271,13169667,2351302,20652344,3931139,21951696,17586678,21691180,13895286,15614024,21349252,4019718,29001462,20878086,28772690,20015656,19283086,20830584,37335648,12479930,16201748,18766882,24558210,19442242,489228,1216338,1631700,7841580,2991727,1694422,238298,6512950,37506376,20973830,14631991,12170091,12106639,2792480,1775685,3106372,19458552,12800247,11377195,8737856,10815332,10687792,13267572,14335697,11065672,23286070,31849736,11985893,10548905,14328295,29439670,18634874,19770462,13877594,13437383,11613999,25932128,22686484,21827658,17860216,18699044,12327197,21862952,13448958,857819,860750,1204762,1477670,2992496,3447130,1983574,28546874,54063228,28464410,21777392,31238716,16303407,15903872,16472068,13965670,26899576,19638598,22308352,22598350,29511032,28941696,42477516,34373052,39139480,37999072,29529168,39045320,29958754,40660740,48784108,25578272,23762828,42458372,43832124,32414134,42409892,22680112,23351688,31705796,37091732,381085,375145,1777839,12669135
4,5.444,80.96397,Unknown,[M-H]-,found in higher mz's MsMs_684,0.098,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,3.69,171016_Std_4uMStdinMatrix_1,80.96397:3462360 81.96732:34221 82.97068:235633,,42995072,35177228,71855928,64775212,21703424,50508216,43838676,34806228,53313008,39346776,42450264,47512604,1310474,1147498,1486381,1338494,55162804,59807368,28793492,10505832,26124286,13301114,56246888,9890947,8219064,9348998,27326966,36049876,47922444,52202712,12367460,50796916,45376812,51172840,45687272,55358564,44281188,86905296,41024864,61552284,60870056,13322585,72743056,69135512,47395824,28324726,34359268,44890120,51271812,57401312,55605284,51695120,45767796,11497370,64033756,48241108,51214312,35461220,45584368,40819300,39726448,42971216,47249480,55408484,66648712,25466902,56730616,41169896,46117044,42274184,46219388,19804370,60387088,20618160,11962990,105563912,8746070,107047064,9825775,35470992,23570990,51409232,97831616,71496032,30993222,49396364,16670706,70354712,63046312,44444096,41400216,3188440,1106147,1569579,577111,19114516,8290870,45691472,43399280,4234144,30686040,29698556,33927468,34943208,36024832,25797300,36683120,81417608,50250616,56987228,10439801,83777200,59876060,52951572,54787584,26509888,51445892,67236784,59067468,130942352,50438992,123828680,73406112,43084536,40828544,19853846,41785024,46687872,33325008,24107882,37426124,28638116,41673256,49623120,8644574,321848,881721,222172,1668003,49852368,42228612,44586008,42102668,3393968,49016636,44278508,42041820,11567929,14231437,28737480,51997984,52910936,40186560,51337164,43035548,20751678,10035931,31151848,2866384,42464368,86952096,62770408,102257912,61867556
