Cruise,SAMPLE,Filter (µm),Date,Status,Chl a (µg/L),,,,
MS,ØBT-1,0.7, 7/13/17,Processed,0.02312498634,,,,
MS,ØBT-1,0.7, 7/8/17,Processed,0.01762522367,,,,
MS,ØBT-2,0.7, 7/13/17,Processed,0.01768777565,,,,
MS,ØBT-2,0.7, 7/8/17,Processed,0.02343293456,,,,
MS,ØBT-3,0.7, 7/13/17,Processed,0.02394297379,,,,
MS,ØBT-3,0.7, 7/8/17,Processed,0.04166924297,,,,
MS,ØBT-1,5, 7/13/17,Processed,0.007092432348,,,,
MS,ØBT-1,5, 7/8/17,Processed,0.006683438624,,,,
MS,ØBT-2,5, 7/13/17,Processed,0.006308126736,,,,
MS,ØBT-2,5, 7/8/17,Processed,0.009734050638,,,,
MS,ØBT-3,5, 7/13/17,Processed,0.005980931756,,,,
MS,ØBT-3,5, 7/8/17,Processed,0.006375490408,,,,
MS,C-1,0.7, 7/13/17,Processed,0.003647261682,,,,
MS,C-1,0.7, 7/8/17,Processed,0.004003326807,,,,
MS,C-2,0.7, 7/13/17,Processed,0.004267969805,,,,
MS,C-2,0.7, 7/8/17,Processed,0.004498930967,,,,
MS,C-3,0.7, 7/13/17,Processed,0.006067542192,,Treatment,Chla,
MS,C-3,0.7, 7/8/17,Processed,0.002121955675,,IS,0.002125163469,0.001383762879
MS,C-1,5, 7/13/17,Processed,-0.0001299156536,,C,0.00168216713,0.00137701228
MS,C-1,5, 7/8/17,Processed,0.00137614359,,DSW,0.01479434554,0.007472509556
MS,C-2,5, 7/13/17,Processed,0.003401865448,,DMB-B12,0.007662617717,0.002138485083
MS,C-2,5, 7/8/17,Processed,0.001116312283,,WBT,0.001586254091,0.0005830265823
MS,C-3,5, 7/13/17,Processed,0.002646429981,,DMB,0.002168147908,0.0006572547815
MS,C-3,5, 7/8/17,Processed,,0.01451687137,0B12,0.007029078418,0.001377382687
MS,DMB-1,0.7, 7/13/17,Processed,0.004797255801,,,,
MS,DMB-1,0.7, 7/8/17,Processed,0.00578365243,,,,
MS,DMB-2,0.7, 7/13/17,Processed,0.003286384867,,,,
MS,DMB-2,0.7, 7/8/17,Processed,0.006327373499,,,,
MS,DMB-3,0.7, 7/13/17,Processed,0.003156469213,,,,
MS,DMB-3,0.7, 7/8/17,Processed,0.002174884275,,,,
MS,DMB-1,5, 7/13/17,Processed,0.002925508051,,,,
MS,DMB-1,5, 7/8/17,Processed,0.002636806599,,,,
MS,DMB-2,5, 7/13/17,Processed,0.002285553165,,,,
MS,DMB-2,5, 7/8/17,Processed,0.001592669679,,,,
MS,DMB-3,5, 7/13/17,Processed,0.001400202044,,,,
MS,DMB-3,5, 7/8/17,Processed,,0.05401604175,,,
MS,DMBØBT-1,0.7, 7/13/17,Processed,0.01984822485,,,,
MS,DMBØBT-1,0.7, 7/8/17,Processed,0.02389004519,,,,
MS,DMBØBT-2,0.7, 7/13/17,Processed,Lost,,,,
MS,DMBØBT-2,0.7, 7/8/17,Processed,0.02237917425,,,,
MS,DMBØBT-3,0.7, 7/13/17,Processed,0.02555007854,,,,
MS,DMBØBT-3,0.7, 7/8/17,Processed,0.02069508245,,,,
MS,DMBØBT-1,5, 7/13/17,Processed,0.004041820334,,,,
MS,DMBØBT-1,5, 7/8/17,Processed,0.008030712069,,,,
MS,DMBØBT-2,5, 7/13/17,Processed,0.007063562203,,,,
MS,DMBØBT-2,5, 7/8/17,Processed,0.008617738355,,,,
MS,DMBØBT-3,5, 7/13/17,Processed,0.01055203809,,,,
MS,DMBØBT-3,5, 7/8/17,Processed,0.007669835253,,,,
MS,DSW-1,0.7, 7/13/17,Processed,0.03132410759,,,,
MS,DSW-1,0.7, 7/8/17,Processed,0.0423909966,,,,
MS,DSW-2,0.7, 7/13/17,Processed,0.03810859172,,,,
MS,DSW-2,0.7, 7/8/17,Processed,0.05196626144,,,,
MS,DSW-3,0.7, 7/13/17,Processed,0.05085957254,,,,
MS,DSW-3,0.7, 7/8/17,Processed,0.07260841529,,,,
MS,DSW-1,5, 7/13/17,Processed,0.008223179704,,,,
MS,DSW-1,5, 7/8/17,Processed,0.02219151831,,,,
MS,DSW-2,5, 7/13/17,Processed,0.008815017681,,,,
MS,DSW-2,5, 7/8/17,Processed,0.02434715582,,,,
MS,DSW-3,5, 7/13/17,Processed,0.00787192627,,,,
MS,DSW-3,5, 7/8/17,Processed,0.01731727546,,,,
MS,IS-1,0.7, 7/4/17,Processed,0.007511049454,,,,
MS,IS-1,0.7, 7/9/17,Processed,0.05057568278,,,,
MS,IS-2,0.7, 7/4/17,Processed,0.008858322899,,,,
MS,IS-2,0.7, 7/9/17,Processed,0.006750802296,,,,
MS,IS-3,0.7, 7/4/17,Processed,0.006620886643,,,,
MS,IS-3,0.7, 7/9/17,Processed,0.007116490803,,,,
MS,IS-1,5, 7/4/17,Processed,0.0005918379775,,,,
MS,IS-1,5, 7/9/17,Processed,0.002097897221,,,,
MS,IS-2,5, 7/4/17,Processed,0.002227812875,,,,
MS,IS-2,5, 7/9/17,Processed,0.001866936059,,,,
MS,IS-3,5, 7/4/17,Processed,0.001299156536,,,,
MS,IS-3,5, 7/9/17,Processed,0.004667340148,,,,
MS,WBT-1,0.7, 7/13/17,Processed,0.004205417824,,,,
MS,WBT-1,0.7, 7/8/17,Processed,0.00291588467,,,,
MS,WBT-2,0.7, 7/13/17,Processed,0.004518177731,,,,
MS,WBT-2,0.7, 7/8/17,Processed,0.003950398207,,,,
MS,WBT-3,0.7, 7/13/17,Processed,0.00473470382,,,,
MS,WBT-3,0.7, 7/8/17,Processed,0.003045800323,,,,
MS,WBT-1,5, 7/13/17,Processed,0.0005774029049,,,,
MS,WBT-1,5, 7/8/17,Processed,0.001823630841,,,,
MS,WBT-2,5, 7/13/17,Processed,0.001246227936,,,,
MS,WBT-2,5, 7/8/17,Processed,0.001963169877,,,,
MS,WBT-3,5, 7/13/17,Processed,0.002174884275,,,,
MS,WBT-3,5, 7/8/17,Processed,0.001732208715,,,,
