,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,171002_Blk_ProcessBlk_1,171002_Blk_ProcessBlk_2,171002_Blk_ProcessBlk_3,171002_Poo_Sept29QC_1,171002_Poo_TruePooWeek1_Full1,171002_Poo_TruePooWeek1_Full2,171002_Poo_TruePooWeek1_Full3,171002_Poo_TruePooWeek1_Full4,171002_Poo_TruePooWeek1_Half1,171002_Poo_TruePooWeek1_Half2,171002_Poo_TruePooWeek1_Half3,171002_Poo_TruePooWeek1_Half4,171002_Poo_TruePooWeek1Neg_dda1,171002_Poo_TruePooWeek1Neg_dda2,171002_Poo_TruePooWeek1Neg_dda3,171002_Poo_TruePooWeek1Neg_dda4,171002_Smp_IL1Control_1,171002_Smp_IL1Control_2,171002_Smp_IL1Control_3,171002_Smp_IL1DMB_1,171002_Smp_IL1DMB_2,171002_Smp_IL1DMB_3,171002_Smp_IL1DMBnoBT_1,171002_Smp_IL1DMBnoBT_2,171002_Smp_IL1DSW_1,171002_Smp_IL1DSW_3,171002_Smp_IL1noBT_1,171002_Smp_IL1noBT_2,171002_Smp_IL1noBT_3,171002_Smp_IL1WBT_1,171002_Smp_IL1WBT_2,171002_Smp_IL1WBT_3,171002_Smp_IT0_1,171002_Smp_IT0_2,171002_Smp_IT0_3,171002_Std_4uMStdinH20_1a,171002_Std_4uMStdinH20_2,171002_Std_4uMStdinMatrix_1,171002_Std_4uMStdinMatrix_2,171009_Blk_ProcessBlk_1,171009_Blk_ProcessBlk_2,171009_Blk_ProcessBlk_3,171009_Poo_Sept29QC_1,171009_Poo_TruePooWeek2_Full1,171009_Poo_TruePooWeek2_Full2,171009_Poo_TruePooWeek2_Full3,171009_Poo_TruePooWeek2_Full4,171009_Poo_TruePooWeek2_Half1,171009_Poo_TruePooWeek2_Half2,171009_Poo_TruePooWeek2_Half3,171009_Poo_TruePooWeek2_Half4,171009_Smp_DSW700m_1,171009_Smp_DSW700m_2,171009_Smp_DSW700m_3,171009_Smp_IL1Control5um_1,171009_Smp_IL1Control5um_2,171009_Smp_IL1Control5um_3,171009_Smp_IL1DMB5um_1,171009_Smp_IL1DMB5um_2,171009_Smp_IL1DMB5um_3,171009_Smp_IL1DMBnoBT5um_1,171009_Smp_IL1DMBnoBT5um_2,171009_Smp_IL1DMBnoBT5um_3,171009_Smp_IL1DSW5um_1,171009_Smp_IL1DSW5um_2,171009_Smp_IL1DSW5um_3,171009_Smp_IL1noBT5um_1,171009_Smp_IL1noBT5um_2,171009_Smp_IL1noBT5um_3,171009_Smp_IL1WBT5um_1,171009_Smp_IL1WBT5um_2,171009_Smp_IL1WBT5um_3,171009_Smp_IT05um_1,171009_Smp_IT05um_2,171009_Smp_IT05um_3,171009_Std_4uMStdinH20_1,171009_Std_4uMStdinH20_2,171009_Std_4uMStdinMatrix_1,171009_Std_4uMStdinMatrix_2,171016_Blk_ProcessBlk_1,171016_Blk_ProcessBlk_2,171016_Blk_ProcessBlk_3,171016_Poo_Sept29QC_1,171016_Poo_TruePooWeek3_Full1,171016_Poo_TruePooWeek3_Full2,171016_Poo_TruePooWeek3_Full3,171016_Poo_TruePooWeek3_Full4,171016_Poo_TruePooWeek3_Half1,171016_Poo_TruePooWeek3_Half2,171016_Poo_TruePooWeek3_Half3,171016_Poo_TruePooWeek3_Half4,171016_Poo_TruePooWeek3Neg_dda1,171016_Poo_TruePooWeek3Neg_dda2,171016_Poo_TruePooWeek3Neg_dda3,171016_Poo_TruePooWeek3Neg_dda4,171016_Smp_DSW700m_1,171016_Smp_DSW700m_2,171016_Smp_DSW700m_3,171016_Smp_IL2Control_1,171016_Smp_IL2Control_2,171016_Smp_IL2Control_3,171016_Smp_IL2DMB_1,171016_Smp_IL2DMB_2,171016_Smp_IL2DMB_3,171016_Smp_IL2DMBnoBT_1,171016_Smp_IL2DMBnoBT_2,171016_Smp_IL2DMBnoBT_3,171016_Smp_IL2DSW_1,171016_Smp_IL2DSW_2,171016_Smp_IL2DSW_3,171016_Smp_IL2noBT_1,171016_Smp_IL2noBT_2,171016_Smp_IL2noBT_3,171016_Smp_IL2WBT_1,171016_Smp_IL2WBT_2,171016_Smp_IL2WBT_3,171016_Smp_IT0_1,171016_Smp_IT0_2,171016_Smp_IT0_3,171016_Std_4uMStdinH20_1,171016_Std_4uMStdinH20_2,171016_Std_4uMStdinMatrix_1,171016_Std_4uMStdinMatrix_2,171023_Blk_ProcessBlk_1,171023_Blk_ProcessBlk_2,171023_Blk_ProcessBlk_3,171023_Poo_Sept29QC_1,171023_Poo_TruePooWeek4_Full1,171023_Poo_TruePooWeek4_Full2,171023_Poo_TruePooWeek4_Full3,171023_Poo_TruePooWeek4_Full4,171023_Poo_TruePooWeek4_Half1,171023_Poo_TruePooWeek4_Half2,171023_Poo_TruePooWeek4_Half3,171023_Poo_TruePooWeek4_Half4,171023_Poo_TruePooWeek4Neg_dda1,171023_Poo_TruePooWeek4Neg_dda2,171023_Poo_TruePooWeek4Neg_dda3,171023_Poo_TruePooWeek4Neg_dda4,171023_Smp_IL2Control5um_1,171023_Smp_IL2Control5um_2,171023_Smp_IL2Control5um_3,171023_Smp_IL2DMB5um_1,171023_Smp_IL2DMB5um_2,171023_Smp_IL2DMB5um_3,171023_Smp_IL2DMBnoBT5um_1,171023_Smp_IL2DMBnoBT5um_2,171023_Smp_IL2DMBnoBT5um_3,171023_Smp_IL2DSW5um_1,171023_Smp_IL2DSW5um_2,171023_Smp_IL2DSW5um_3,171023_Smp_IL2noBT5um_1,171023_Smp_IL2noBT5um_2,171023_Smp_IL2noBT5um_3,171023_Smp_IL2WBT5um_1,171023_Smp_IL2WBT5um_2,171023_Smp_IL2WBT5um_3,171023_Smp_IT05um_1,171023_Smp_IT05um_2,171023_Smp_IT05um_3,171023_Std_4uMStdinH20_1,171023_Std_4uMStdinH20_2,171023_Std_4uMStdinMatrix_1,171023_Std_4uMStdinMatrix_2
0,8.563,80.87661,Unknown,[M-H]-,,0.122,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,82.45,171009_Poo_TruePooWeek2_Full1,80.87661:80808 81.87996:0 82.88332:0,,80.877,80.877,80.877,80.878,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.878,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.878,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.878,80.877,80.877,80.877,80.877,80.878,80.877,80.877,80.877,80.877,80.877,80.877,80.878,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.878,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.878,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.878,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.878,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.877,80.878,80.877
1,8.566,80.91562,Unknown,[M-H2O-H]-,adduct linked to 496_[M+FA-H]-; similar chromatogram in higher mz_430; similar chromatogram in higher mz_454; similar chromatogram in higher mz_468; similar chromatogram in higher mz_481; similar chromatogram in higher mz_1001; similar chromatogram in higher mz_1402,1,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,687.71,171002_Poo_TruePooWeek1Neg_dda1,80.91563:69899672 81.91898:0 82.92234:0,58.88734:19995 58.98876:19677 65.21379:20307 80.72942:22431 80.848:83810 80.8773:272006 80.91566:132771576 80.95292:193657 80.95587:57552 80.96394:316028 80.9823:42223 81.0446:96441 81.10257:25454,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916
2,14.783,80.91563,Unknown,[M+Na-2H]-,similar chromatogram in higher mz_9; adduct linked to 73_[M+Cl]-,0.171,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,10.68,171009_Smp_IL1Control5um_2,80.91563:377277 81.91898:0 82.92234:0,,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.915,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916
3,10.896,80.91566,Unknown,[M-H]-,,0.762,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,40.19,171002_Poo_TruePooWeek1Neg_dda1,80.91566:571385 81.91901:0 82.92237:0,57.4265:1296 58.57221:1157 63.41672:1192 72.62253:1148 73.21017:1146 80.91567:1645079 80.95287:1813 80.96407:2618 81.28577:1237,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916,80.916
4,5.444,80.96397,Unknown,[M-H]-,found in higher mz's MsMs_684,0.098,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,3.69,171016_Std_4uMStdinMatrix_1,80.96397:3462360 81.96732:34221 82.97068:235633,,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964,80.964
