,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,171002_Blk_ProcessBlk_1,171002_Blk_ProcessBlk_2,171002_Blk_ProcessBlk_3,171002_Poo_Sept29QC_1,171002_Poo_TruePooWeek1_Full1,171002_Poo_TruePooWeek1_Full2,171002_Poo_TruePooWeek1_Full3,171002_Poo_TruePooWeek1_Full4,171002_Poo_TruePooWeek1_Half1,171002_Poo_TruePooWeek1_Half2,171002_Poo_TruePooWeek1_Half3,171002_Poo_TruePooWeek1_Half4,171002_Poo_TruePooWeek1Neg_dda1,171002_Poo_TruePooWeek1Neg_dda2,171002_Poo_TruePooWeek1Neg_dda3,171002_Poo_TruePooWeek1Neg_dda4,171002_Smp_IL1Control_1,171002_Smp_IL1Control_2,171002_Smp_IL1Control_3,171002_Smp_IL1DMB_1,171002_Smp_IL1DMB_2,171002_Smp_IL1DMB_3,171002_Smp_IL1DMBnoBT_1,171002_Smp_IL1DMBnoBT_2,171002_Smp_IL1DSW_1,171002_Smp_IL1DSW_3,171002_Smp_IL1noBT_1,171002_Smp_IL1noBT_2,171002_Smp_IL1noBT_3,171002_Smp_IL1WBT_1,171002_Smp_IL1WBT_2,171002_Smp_IL1WBT_3,171002_Smp_IT0_1,171002_Smp_IT0_2,171002_Smp_IT0_3,171002_Std_4uMStdinH20_1a,171002_Std_4uMStdinH20_2,171002_Std_4uMStdinMatrix_1,171002_Std_4uMStdinMatrix_2,171009_Blk_ProcessBlk_1,171009_Blk_ProcessBlk_2,171009_Blk_ProcessBlk_3,171009_Poo_Sept29QC_1,171009_Poo_TruePooWeek2_Full1,171009_Poo_TruePooWeek2_Full2,171009_Poo_TruePooWeek2_Full3,171009_Poo_TruePooWeek2_Full4,171009_Poo_TruePooWeek2_Half1,171009_Poo_TruePooWeek2_Half2,171009_Poo_TruePooWeek2_Half3,171009_Poo_TruePooWeek2_Half4,171009_Smp_DSW700m_1,171009_Smp_DSW700m_2,171009_Smp_DSW700m_3,171009_Smp_IL1Control5um_1,171009_Smp_IL1Control5um_2,171009_Smp_IL1Control5um_3,171009_Smp_IL1DMB5um_1,171009_Smp_IL1DMB5um_2,171009_Smp_IL1DMB5um_3,171009_Smp_IL1DMBnoBT5um_1,171009_Smp_IL1DMBnoBT5um_2,171009_Smp_IL1DMBnoBT5um_3,171009_Smp_IL1DSW5um_1,171009_Smp_IL1DSW5um_2,171009_Smp_IL1DSW5um_3,171009_Smp_IL1noBT5um_1,171009_Smp_IL1noBT5um_2,171009_Smp_IL1noBT5um_3,171009_Smp_IL1WBT5um_1,171009_Smp_IL1WBT5um_2,171009_Smp_IL1WBT5um_3,171009_Smp_IT05um_1,171009_Smp_IT05um_2,171009_Smp_IT05um_3,171009_Std_4uMStdinH20_1,171009_Std_4uMStdinH20_2,171009_Std_4uMStdinMatrix_1,171009_Std_4uMStdinMatrix_2,171016_Blk_ProcessBlk_1,171016_Blk_ProcessBlk_2,171016_Blk_ProcessBlk_3,171016_Poo_Sept29QC_1,171016_Poo_TruePooWeek3_Full1,171016_Poo_TruePooWeek3_Full2,171016_Poo_TruePooWeek3_Full3,171016_Poo_TruePooWeek3_Full4,171016_Poo_TruePooWeek3_Half1,171016_Poo_TruePooWeek3_Half2,171016_Poo_TruePooWeek3_Half3,171016_Poo_TruePooWeek3_Half4,171016_Poo_TruePooWeek3Neg_dda1,171016_Poo_TruePooWeek3Neg_dda2,171016_Poo_TruePooWeek3Neg_dda3,171016_Poo_TruePooWeek3Neg_dda4,171016_Smp_DSW700m_1,171016_Smp_DSW700m_2,171016_Smp_DSW700m_3,171016_Smp_IL2Control_1,171016_Smp_IL2Control_2,171016_Smp_IL2Control_3,171016_Smp_IL2DMB_1,171016_Smp_IL2DMB_2,171016_Smp_IL2DMB_3,171016_Smp_IL2DMBnoBT_1,171016_Smp_IL2DMBnoBT_2,171016_Smp_IL2DMBnoBT_3,171016_Smp_IL2DSW_1,171016_Smp_IL2DSW_2,171016_Smp_IL2DSW_3,171016_Smp_IL2noBT_1,171016_Smp_IL2noBT_2,171016_Smp_IL2noBT_3,171016_Smp_IL2WBT_1,171016_Smp_IL2WBT_2,171016_Smp_IL2WBT_3,171016_Smp_IT0_1,171016_Smp_IT0_2,171016_Smp_IT0_3,171016_Std_4uMStdinH20_1,171016_Std_4uMStdinH20_2,171016_Std_4uMStdinMatrix_1,171016_Std_4uMStdinMatrix_2,171023_Blk_ProcessBlk_1,171023_Blk_ProcessBlk_2,171023_Blk_ProcessBlk_3,171023_Poo_Sept29QC_1,171023_Poo_TruePooWeek4_Full1,171023_Poo_TruePooWeek4_Full2,171023_Poo_TruePooWeek4_Full3,171023_Poo_TruePooWeek4_Full4,171023_Poo_TruePooWeek4_Half1,171023_Poo_TruePooWeek4_Half2,171023_Poo_TruePooWeek4_Half3,171023_Poo_TruePooWeek4_Half4,171023_Poo_TruePooWeek4Neg_dda1,171023_Poo_TruePooWeek4Neg_dda2,171023_Poo_TruePooWeek4Neg_dda3,171023_Poo_TruePooWeek4Neg_dda4,171023_Smp_IL2Control5um_1,171023_Smp_IL2Control5um_2,171023_Smp_IL2Control5um_3,171023_Smp_IL2DMB5um_1,171023_Smp_IL2DMB5um_2,171023_Smp_IL2DMB5um_3,171023_Smp_IL2DMBnoBT5um_1,171023_Smp_IL2DMBnoBT5um_2,171023_Smp_IL2DMBnoBT5um_3,171023_Smp_IL2DSW5um_1,171023_Smp_IL2DSW5um_2,171023_Smp_IL2DSW5um_3,171023_Smp_IL2noBT5um_1,171023_Smp_IL2noBT5um_2,171023_Smp_IL2noBT5um_3,171023_Smp_IL2WBT5um_1,171023_Smp_IL2WBT5um_2,171023_Smp_IL2WBT5um_3,171023_Smp_IT05um_1,171023_Smp_IT05um_2,171023_Smp_IT05um_3,171023_Std_4uMStdinH20_1,171023_Std_4uMStdinH20_2,171023_Std_4uMStdinMatrix_1,171023_Std_4uMStdinMatrix_2
0,8.563,80.87661,Unknown,[M-H]-,,0.122,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,82.45,171009_Poo_TruePooWeek2_Full1,80.87661:80808 81.87996:0 82.88332:0,,8.563,8.563,8.563,8.727,8.677,8.682,8.457,8.627,8.536,8.501,8.559,8.685,8.596,8.581,8.549,8.543,8.458,8.805,8.582,8.64,8.549,8.436,8.455,8.652,8.564,8.764,8.566,8.589,8.691,8.598,8.486,8.64,8.46,8.649,8.494,8.563,8.563,8.563,8.258,8.563,8.563,8.563,8.601,8.552,8.493,8.575,8.444,8.435,8.574,8.588,8.524,8.507,8.526,8.581,8.577,8.629,8.482,8.536,8.514,8.42,8.427,8.563,8.719,8.606,8.628,8.645,8.603,8.548,8.633,8.602,8.477,8.544,8.405,8.623,8.53,8.563,8.563,8.54,8.104,8.563,8.563,7.772,8.772,8.653,8.638,8.624,8.301,8.823,8.769,8.569,8.515,8.486,8.526,8.592,8.548,8.643,8.796,8.56,8.58,8.578,8.75,8.627,8.551,8.567,8.598,8.592,8.58,8.768,8.749,8.495,8.493,8.807,8.668,8.747,8.524,8.604,8.591,8.607,8.645,8.563,7.734,8.782,8.55,8.563,8.563,8.563,8.656,8.549,8.489,8.65,8.632,8.653,8.629,8.422,8.638,8.583,8.579,8.526,8.575,8.558,8.189,8.63,8.707,8.558,8.511,8.496,8.635,8.631,8.632,8.468,8.328,8.721,8.643,8.574,8.568,8.494,8.533,8.48,8.556,8.6,8.563,8.563,8.66,8.584
1,8.566,80.91562,Unknown,[M-H2O-H]-,adduct linked to 496_[M+FA-H]-; similar chromatogram in higher mz_430; similar chromatogram in higher mz_454; similar chromatogram in higher mz_468; similar chromatogram in higher mz_481; similar chromatogram in higher mz_1001; similar chromatogram in higher mz_1402,1,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,687.71,171002_Poo_TruePooWeek1Neg_dda1,80.91563:69899672 81.91898:0 82.92234:0,58.88734:19995 58.98876:19677 65.21379:20307 80.72942:22431 80.848:83810 80.8773:272006 80.91566:132771576 80.95292:193657 80.95587:57552 80.96394:316028 80.9823:42223 81.0446:96441 81.10257:25454,8.36,8.184,8.335,8.727,8.745,8.748,8.604,8.461,8.714,8.713,8.559,8.42,8.732,8.708,8.574,8.386,8.719,8.752,8.743,8.708,8.534,8.602,8.521,8.584,8.58,8.797,8.766,8.773,8.541,8.763,8.636,8.608,8.56,8.785,8.544,8.579,7.977,8.66,8.274,8.296,8.089,8.259,9.763,8.485,8.56,8.464,8.303,8.55,8.589,8.491,8.332,8.558,8.704,8.644,8.611,8.545,8.628,8.567,8.336,9.818,8.3,8.467,8.405,8.491,8.548,8.576,8.619,8.612,8.473,8.499,8.426,8.497,8.342,8.605,8.452,8.262,7.814,8.556,8.199,8.512,8.235,8.496,8.853,8.834,8.754,8.624,8.401,8.823,8.769,8.654,8.414,8.804,8.765,8.57,8.379,8.495,8.712,9.804,8.731,8.563,8.9,8.83,8.535,8.662,8.682,8.809,8.632,8.802,8.701,8.526,8.525,8.839,8.813,8.867,8.784,8.57,8.639,8.851,8.824,8.634,8.013,8.845,8.321,8.301,7.971,8.249,8.588,8.565,8.604,8.393,8.181,8.637,8.645,8.44,8.234,8.617,8.575,8.331,8.133,8.524,8.289,8.711,8.657,8.299,8.465,8.496,8.667,8.409,8.632,8.483,8.297,8.266,8.658,8.641,8.683,8.608,8.371,8.431,8.687,8.649,8.359,8.311,8.644,8.584
2,14.783,80.91563,Unknown,[M+Na-2H]-,similar chromatogram in higher mz_9; adduct linked to 73_[M+Cl]-,0.171,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,10.68,171009_Smp_IL1Control5um_2,80.91563:377277 81.91898:0 82.92234:0,,14.762,14.883,14.833,14.85,14.795,14.84,14.876,14.789,14.774,14.868,14.787,15.088,14.791,14.736,14.796,14.776,14.817,14.831,14.734,15.17,14.75,14.626,14.85,14.631,14.698,14.759,14.743,14.798,15.191,14.664,14.981,14.725,15.077,15.133,14.804,14.818,14.749,14.768,14.801,14.828,14.636,14.697,14.798,14.842,15.002,14.037,14.843,13.134,14.587,14.808,13.291,14.796,14.821,14.905,14.969,16.471,15.036,14.153,14.662,14.712,14.795,15.048,14.708,14.89,14.988,14.831,14.868,14.959,14.795,14.872,14.86,14.846,14.714,14.77,14.867,14.578,14.909,14.792,14.878,14.873,14.917,14.825,14.809,14.863,14.769,14.682,14.85,14.842,14.683,14.677,14.909,14.774,14.782,14.822,14.865,14.672,14.808,14.884,14.764,14.597,14.833,14.69,14.829,14.746,14.744,14.519,14.649,14.838,14.737,14.917,14.878,14.708,14.834,15.05,14.58,14.69,14.985,14.987,14.623,14.77,14.803,14.898,14.795,14.654,14.736,14.665,14.672,14.807,14.671,15.083,14.917,14.895,14.745,14.777,14.88,14.699,14.8,14.76,14.893,14.741,14.695,14.892,14.964,14.627,14.95,14.922,14.821,14.755,14.711,14.741,14.618,14.87,14.735,14.841,14.756,14.713,14.714,14.715,14.86,14.822,14.874,14.807,15.028,14.753
3,10.896,80.91566,Unknown,[M-H]-,,0.762,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,40.19,171002_Poo_TruePooWeek1Neg_dda1,80.91566:571385 81.91901:0 82.92237:0,57.4265:1296 58.57221:1157 63.41672:1192 72.62253:1148 73.21017:1146 80.91567:1645079 80.95287:1813 80.96407:2618 81.28577:1237,10.938,10.869,10.92,11.325,10.894,10.975,10.954,10.974,10.7,10.925,10.707,10.909,10.928,10.971,10.975,10.975,10.931,10.942,10.975,10.983,10.951,10.955,10.972,10.96,10.959,10.962,10.956,10.974,10.977,10.944,10.977,10.959,10.967,10.958,10.952,10.98,10.887,10.887,10.841,10.646,10.619,10.985,11.023,11.255,10.823,12.837,13.085,10.702,10.858,10.895,11.052,10.742,10.857,14.316,10.805,10.135,10.825,10.846,10.839,10.837,10.827,10.819,10.129,10.822,10.8,10.798,10.816,10.839,10.848,10.747,10.853,10.832,10.817,10.829,10.838,10.87,10.859,11.067,10.649,10.703,10.748,11.026,11.086,10.657,10.72,10.748,10.762,10.573,10.828,10.867,10.792,10.683,10.748,10.766,10.754,10.749,10.924,10.717,10.734,10.754,10.745,10.728,10.744,10.747,10.765,10.711,10.713,10.749,10.735,10.776,10.763,10.712,10.734,10.75,10.743,10.75,10.72,10.745,10.745,10.993,10.853,11.097,10.958,10.752,10.775,10.786,10.631,10.76,10.899,10.899,10.889,10.754,10.913,10.901,10.882,10.82,10.89,10.902,10.895,10.889,10.908,10.882,10.854,10.911,10.896,10.9,10.837,10.887,10.892,10.87,10.905,10.925,10.824,10.897,10.911,10.894,10.909,10.891,10.905,10.906,10.875,10.858,11.16,10.252
4,5.444,80.96397,Unknown,[M-H]-,found in higher mz's MsMs_684,0.098,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,3.69,171016_Std_4uMStdinMatrix_1,80.96397:3462360 81.96732:34221 82.97068:235633,,5.409,5.638,4.916,5.606,5.688,5.294,5.911,5.488,5.156,5.575,5.524,5.334,5.437,5.421,5.441,5.438,4.43,5.279,5.846,5.593,5.468,5.506,5.266,5.602,5.515,5.447,5.285,5.419,5.494,5.585,5.384,5.473,5.297,5.483,5.138,6.315,5.545,4.498,5.404,5.258,5.355,5.731,6.012,5.014,5.695,5.139,5.661,5.431,5.16,5.263,5.595,5.071,5.619,5.477,4.99,5.171,5.842,5.472,5.274,5.292,5.431,5.476,5.555,5.07,5.415,5.267,5.307,4.289,5.516,5.23,5.307,5.432,5.647,5.599,5.581,6.054,5.622,5.907,5.512,5.614,5.302,5.246,6.478,5.729,5.614,5.529,5.374,5.126,5.44,5.771,5.575,4.499,5.417,5.43,5.482,5.636,5.525,5.728,5.494,5.653,5.558,5.529,5.513,5.319,5.374,5.256,5.658,5.44,5.222,5.635,5.442,5.633,5.203,5.232,5.584,5.29,5.323,5.384,5.217,5.58,5.282,4.691,5.429,5.593,5.707,5.757,5.777,5.367,5.339,5.671,5.572,5.314,5.216,5.092,5.457,5.445,5.457,5.446,5.398,5.537,5.784,5.274,5.163,5.341,5.585,5.741,5.444,5.479,5.425,5.378,5.166,5.186,5.592,5.26,5.913,5.227,5.51,5.492,5.492,5.205,5.309,5.445,6.55,5.539
