,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,171002_Blk_ProcessBlk_1,171002_Blk_ProcessBlk_2,171002_Blk_ProcessBlk_3,171002_Poo_Sept29QC_1,171002_Poo_TruePooWeek1_Full1,171002_Poo_TruePooWeek1_Full2,171002_Poo_TruePooWeek1_Full3,171002_Poo_TruePooWeek1_Full4,171002_Poo_TruePooWeek1_Half1,171002_Poo_TruePooWeek1_Half2,171002_Poo_TruePooWeek1_Half3,171002_Poo_TruePooWeek1_Half4,171002_Poo_TruePooWeek1Neg_dda1,171002_Poo_TruePooWeek1Neg_dda2,171002_Poo_TruePooWeek1Neg_dda3,171002_Poo_TruePooWeek1Neg_dda4,171002_Smp_IL1Control_1,171002_Smp_IL1Control_2,171002_Smp_IL1Control_3,171002_Smp_IL1DMB_1,171002_Smp_IL1DMB_2,171002_Smp_IL1DMB_3,171002_Smp_IL1DMBnoBT_1,171002_Smp_IL1DMBnoBT_2,171002_Smp_IL1DSW_1,171002_Smp_IL1DSW_3,171002_Smp_IL1noBT_1,171002_Smp_IL1noBT_2,171002_Smp_IL1noBT_3,171002_Smp_IL1WBT_1,171002_Smp_IL1WBT_2,171002_Smp_IL1WBT_3,171002_Smp_IT0_1,171002_Smp_IT0_2,171002_Smp_IT0_3,171002_Std_4uMStdinH20_1a,171002_Std_4uMStdinH20_2,171002_Std_4uMStdinMatrix_1,171002_Std_4uMStdinMatrix_2,171009_Blk_ProcessBlk_1,171009_Blk_ProcessBlk_2,171009_Blk_ProcessBlk_3,171009_Poo_Sept29QC_1,171009_Poo_TruePooWeek2_Full1,171009_Poo_TruePooWeek2_Full2,171009_Poo_TruePooWeek2_Full3,171009_Poo_TruePooWeek2_Full4,171009_Poo_TruePooWeek2_Half1,171009_Poo_TruePooWeek2_Half2,171009_Poo_TruePooWeek2_Half3,171009_Poo_TruePooWeek2_Half4,171009_Smp_DSW700m_1,171009_Smp_DSW700m_2,171009_Smp_DSW700m_3,171009_Smp_IL1Control5um_1,171009_Smp_IL1Control5um_2,171009_Smp_IL1Control5um_3,171009_Smp_IL1DMB5um_1,171009_Smp_IL1DMB5um_2,171009_Smp_IL1DMB5um_3,171009_Smp_IL1DMBnoBT5um_1,171009_Smp_IL1DMBnoBT5um_2,171009_Smp_IL1DMBnoBT5um_3,171009_Smp_IL1DSW5um_1,171009_Smp_IL1DSW5um_2,171009_Smp_IL1DSW5um_3,171009_Smp_IL1noBT5um_1,171009_Smp_IL1noBT5um_2,171009_Smp_IL1noBT5um_3,171009_Smp_IL1WBT5um_1,171009_Smp_IL1WBT5um_2,171009_Smp_IL1WBT5um_3,171009_Smp_IT05um_1,171009_Smp_IT05um_2,171009_Smp_IT05um_3,171009_Std_4uMStdinH20_1,171009_Std_4uMStdinH20_2,171009_Std_4uMStdinMatrix_1,171009_Std_4uMStdinMatrix_2,171016_Blk_ProcessBlk_1,171016_Blk_ProcessBlk_2,171016_Blk_ProcessBlk_3,171016_Poo_Sept29QC_1,171016_Poo_TruePooWeek3_Full1,171016_Poo_TruePooWeek3_Full2,171016_Poo_TruePooWeek3_Full3,171016_Poo_TruePooWeek3_Full4,171016_Poo_TruePooWeek3_Half1,171016_Poo_TruePooWeek3_Half2,171016_Poo_TruePooWeek3_Half3,171016_Poo_TruePooWeek3_Half4,171016_Poo_TruePooWeek3Neg_dda1,171016_Poo_TruePooWeek3Neg_dda2,171016_Poo_TruePooWeek3Neg_dda3,171016_Poo_TruePooWeek3Neg_dda4,171016_Smp_DSW700m_1,171016_Smp_DSW700m_2,171016_Smp_DSW700m_3,171016_Smp_IL2Control_1,171016_Smp_IL2Control_2,171016_Smp_IL2Control_3,171016_Smp_IL2DMB_1,171016_Smp_IL2DMB_2,171016_Smp_IL2DMB_3,171016_Smp_IL2DMBnoBT_1,171016_Smp_IL2DMBnoBT_2,171016_Smp_IL2DMBnoBT_3,171016_Smp_IL2DSW_1,171016_Smp_IL2DSW_2,171016_Smp_IL2DSW_3,171016_Smp_IL2noBT_1,171016_Smp_IL2noBT_2,171016_Smp_IL2noBT_3,171016_Smp_IL2WBT_1,171016_Smp_IL2WBT_2,171016_Smp_IL2WBT_3,171016_Smp_IT0_1,171016_Smp_IT0_2,171016_Smp_IT0_3,171016_Std_4uMStdinH20_1,171016_Std_4uMStdinH20_2,171016_Std_4uMStdinMatrix_1,171016_Std_4uMStdinMatrix_2,171023_Blk_ProcessBlk_1,171023_Blk_ProcessBlk_2,171023_Blk_ProcessBlk_3,171023_Poo_Sept29QC_1,171023_Poo_TruePooWeek4_Full1,171023_Poo_TruePooWeek4_Full2,171023_Poo_TruePooWeek4_Full3,171023_Poo_TruePooWeek4_Full4,171023_Poo_TruePooWeek4_Half1,171023_Poo_TruePooWeek4_Half2,171023_Poo_TruePooWeek4_Half3,171023_Poo_TruePooWeek4_Half4,171023_Poo_TruePooWeek4Neg_dda1,171023_Poo_TruePooWeek4Neg_dda2,171023_Poo_TruePooWeek4Neg_dda3,171023_Poo_TruePooWeek4Neg_dda4,171023_Smp_IL2Control5um_1,171023_Smp_IL2Control5um_2,171023_Smp_IL2Control5um_3,171023_Smp_IL2DMB5um_1,171023_Smp_IL2DMB5um_2,171023_Smp_IL2DMB5um_3,171023_Smp_IL2DMBnoBT5um_1,171023_Smp_IL2DMBnoBT5um_2,171023_Smp_IL2DMBnoBT5um_3,171023_Smp_IL2DSW5um_1,171023_Smp_IL2DSW5um_2,171023_Smp_IL2DSW5um_3,171023_Smp_IL2noBT5um_1,171023_Smp_IL2noBT5um_2,171023_Smp_IL2noBT5um_3,171023_Smp_IL2WBT5um_1,171023_Smp_IL2WBT5um_2,171023_Smp_IL2WBT5um_3,171023_Smp_IT05um_1,171023_Smp_IT05um_2,171023_Smp_IT05um_3,171023_Std_4uMStdinH20_1,171023_Std_4uMStdinH20_2,171023_Std_4uMStdinMatrix_1,171023_Std_4uMStdinMatrix_2
0,8.563,80.87661,Unknown,[M-H]-,,0.122,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,82.45,171009_Poo_TruePooWeek2_Full1,80.87661:80808 81.87996:0 82.88332:0,,0,0,0,96.68947,55.82122,17.37843,4.220875,5.807751,24.44047,1.922392,5.318848,2.093738,80.81287,15.2561,1.526891,42.92007,18.19644,56.5608,31.36227,37.96066,7.130101,21.23634,24.91451,14.22927,3.645999,66.48553,13.69581,13.10832,5.578556,1.600099,5.593406,3.55533,21.56485,7.963212,30.30111,0,0,14.85558,2.473356,0,0,0,85.61485,131.5714,53.63147,4.752266,34.06512,91.73714,8.501446,5.751215,11.15118,18.97081,26.57321,8.417562,106.5649,50.02019,93.10364,1.770258,41.07505,16.4964,53.23617,3.969939,16.78097,44.64149,20.72203,130.9511,101.8705,84.88604,13.26507,9.565845,26.27535,18.48286,65.21165,43.49124,19.66109,0,0,60.71762,31.68497,0,0,0.9753712,43.13959,29.68482,10.19052,22.56388,67.49594,30.26239,2.54736,8.18882,27.4355,5.49899,9.652778,49.57455,103.1867,31.58462,10.62999,2.087955,10.33811,8.553208,4.837128,1.869076,30.90682,6.572315,4.531031,8.112426,39.46046,6.831872,14.65634,42.28049,50.39252,43.82962,11.06658,14.56998,1.610053,23.24816,50.11117,7.798306,4.509514,0,1.442572,16.34754,23.83648,0,0,0,44.41212,56.57296,22.84277,29.96192,39.86388,39.49712,11.05807,21.23392,7.174355,9.264674,22.20997,74.603,28.27885,37.83039,58.00555,64.43916,112.4285,50.55929,41.39114,11.95076,51.84122,26.99553,3.216232,33.24202,50.59752,25.53259,71.44347,1.718215,64.45767,11.60378,23.43162,10.49593,20.44763,46.42632,0,0,97.74862,2.794172
1,8.566,80.91562,Unknown,[M-H2O-H]-,adduct linked to 496_[M+FA-H]-; similar chromatogram in higher mz_430; similar chromatogram in higher mz_454; similar chromatogram in higher mz_468; similar chromatogram in higher mz_481; similar chromatogram in higher mz_1001; similar chromatogram in higher mz_1402,1,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,687.71,171002_Poo_TruePooWeek1Neg_dda1,80.91563:69899672 81.91898:0 82.92234:0,58.88734:19995 58.98876:19677 65.21379:20307 80.72942:22431 80.848:83810 80.8773:272006 80.91566:132771576 80.95292:193657 80.95587:57552 80.96394:316028 80.9823:42223 81.0446:96441 81.10257:25454,456.6359,118.9566,239.8513,241.9908,254.3479,230.9629,313.5201,312.2367,133.413,166.8202,131.4715,138.0042,5492.801,5354.921,5956.055,5132.983,264.0992,215.6237,210.6521,225.4348,171.8491,225.7802,291.9649,191.6424,223.1265,199.5897,202.8789,248.3542,263.8998,215.46,273.3931,188.4517,294.0062,232.1869,278.0068,93.40904,81.38625,84.24663,85.47821,306.7152,96.26785,171.1923,13.13666,297.9288,269.9789,328.3512,287.7853,177.162,171.8815,161.1966,181.4017,184.9867,219.8193,207.041,319.6517,351.8966,327.1122,287.2779,516.41,24.00358,376.24,767.7521,397.1762,384.7662,295.0787,359.7395,294.5079,490.3984,345.1055,339.558,360.7658,261.1056,363.9746,373.5624,367.5377,72.12651,54.07376,113.1179,95.42377,317.2896,81.57677,165.8164,228.9204,215.6356,254.8207,217.6692,229.7599,98.78705,114.8886,153.3649,114.8432,4951.397,5471.07,5769.434,5465.384,201.7025,232.5158,11.01595,227.8659,204.1998,180.3576,250.8058,229.0646,202.6391,241.9565,233.9188,304.4581,240.6113,241.9559,235.7592,220.6664,196.8216,221.3639,304.4285,189.7947,239.0229,202.3071,181.9582,190.6141,46.20144,62.61894,76.38092,91.41026,247.7153,64.82531,267.2501,213.203,264.1877,360.9404,494.1243,532.441,171.8687,206.3085,180.6911,241.9171,8186.938,9235.532,7978.86,6626.461,435.412,487.4604,496.7476,335.6631,339.9838,325.5858,265.9034,311.8368,326.8562,366.1541,352.0243,373.2573,381.0177,263.6109,349.1721,358.8441,362.9789,273.8845,337.8056,313.6096,321.4234,68.00677,64.70943,114.8242,121.8259
2,14.783,80.91563,Unknown,[M+Na-2H]-,similar chromatogram in higher mz_9; adduct linked to 73_[M+Cl]-,0.171,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,10.68,171009_Smp_IL1Control5um_2,80.91563:377277 81.91898:0 82.92234:0,,0.36031,0.6855136,0.3493631,1.671869,0.02128804,3.407754,6.029662,1.077358,1.032295,1.019428,2.301869,7.181997,4.080766,2.289538,2.444382,4.712932,2.50927,4.183803,5.201053,5.551197,4.012172,3.700419,6.195399,2.022585,2.110622,3.131376,5.867077,3.977351,9.837274,2.314935,10.55399,1.300127,27.69769,13.66297,0.572883,0.02869572,0.05512804,0.5148554,1.402249,0.4758708,0.4244832,0.5407543,3.847207,3.11777,14.56269,10.4088,9.172997,9.471535,0.4140846,6.168328,5.625529,16.80133,3.089253,15.9125,12.21983,13.5782,10.53521,16.71241,4.678337,5.325371,15.72888,7.558277,6.644965,12.37259,14.93091,7.125989,8.821883,12.41936,11.74465,7.633708,10.90503,9.04948,12.97754,9.785888,8.559822,1.313787,0.1798886,1.143786,5.439591,0.4197043,0.1670899,0.2430636,11.94384,8.492236,7.810234,1.853751,6.478509,3.068259,0.2668339,0.7771099,8.598056,0.4681576,3.780865,5.137247,5.272697,2.360278,7.069629,8.263527,5.97143,3.403108,7.316245,5.094991,3.392701,2.029903,7.75014,11.54055,9.00689,5.318964,13.35378,8.470515,4.895859,23.79922,7.674078,11.36796,7.236488,7.561575,11.1202,10.19833,1.263628,0.03929622,0.2692519,5.508168,5.519793,0.3589175,0.685948,0.6667468,6.414795,7.893101,10.15019,4.861154,7.238126,3.623735,4.68156,4.963722,9.143244,2.347926,0.2293452,6.109179,9.944055,6.860054,2.150552,13.52704,10.65087,7.443248,5.868471,5.44291,7.870173,15.3619,10.80591,9.690353,9.020127,5.536095,8.288049,2.472535,0.9904015,9.566401,0.8385557,10.28725,0.8421279,5.813953,0.06274494,0.1552219,8.186484,3.680528
3,10.896,80.91566,Unknown,[M-H]-,,0.762,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,40.19,171002_Poo_TruePooWeek1Neg_dda1,80.91566:571385 81.91901:0 82.92237:0,57.4265:1296 58.57221:1157 63.41672:1192 72.62253:1148 73.21017:1146 80.91567:1645079 80.95287:1813 80.96407:2618 81.28577:1237,1.429626,2.376794,1.006932,7.265725,67.30478,26.04636,28.04797,23.12802,15.62472,0.6618511,4.472741,0.4907249,30.17576,48.18801,46.31946,13.96948,41.46718,50.00464,29.58155,29.29328,20.08479,24.91304,17.99893,19.28404,29.555,34.23668,30.46583,35.99475,32.32618,25.46934,32.27936,32.34191,52.24311,40.51745,19.16682,0.2804637,0.03478752,3.279926,0.8645503,1.506119,2.220996,0.4725483,1.092113,16.16599,33.52246,6.45249,4.645418,36.20106,10.61545,15.48456,9.003677,46.23501,23.15991,10.31012,45.42212,17.91907,60.78903,37.0513,26.80783,25.67497,18.41223,32.62833,11.95275,33.51136,37.71138,4.116503,28.01943,36.31589,37.24258,47.1358,19.5065,23.27249,28.46446,53.22115,25.98867,0.475535,0.4694741,0.6045507,7.214596,1.737642,1.669322,0.001548158,1.519267,104.5693,30.20529,45.54918,25.39622,19.31115,2.31913,0.2581728,1.421081,59.59495,43.40167,37.28613,42.49169,21.67315,7.149245,16.08842,56.50031,25.14447,58.65237,55.1576,24.51303,26.39413,26.5928,81.88544,31.10385,34.07092,22.23033,35.5516,13.7236,58.40745,41.60033,34.62457,45.1699,29.45724,30.34407,34.38567,45.48544,0.3705442,0.1068076,0.7142078,0.536912,1.910188,2.205316,1.041964,43.10809,64.56004,45.27493,46.82826,43.80742,44.45958,31.74871,31.59385,17.80161,141.3743,138.5242,111.462,98.98559,68.35426,33.92342,5.763405,80.65198,34.47885,45.27177,28.82138,85.04819,51.9123,83.59818,51.97028,34.32967,26.36679,91.172,66.68304,91.67719,92.07297,34.48198,29.54672,99.74277,57.34544,0.07960934,0.1604001,0.5239831,15.87738
4,5.444,80.96397,Unknown,[M-H]-,found in higher mz's MsMs_684,0.098,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,3.69,171016_Std_4uMStdinMatrix_1,80.96397:3462360 81.96732:34221 82.97068:235633,,1.371192,1.313332,2.775441,2.943153,0.5753339,2.511123,3.075273,1.21129,2.445639,1.40161,1.2063,1.350225,0.05149738,0.03850012,0.06349236,0.05970235,3.181049,2.918719,1.04743,0.1091273,0.7500427,0.2324975,2.288766,0.1112382,0.03585668,0.1787015,0.7086858,1.672582,2.496648,1.617505,0.3593882,2.538273,1.611202,2.895952,2.590883,2.99114,1.348415,3.103746,0.829882,2.866796,2.451122,0.3058111,3.418656,3.087898,1.785413,0.8849983,1.122532,1.807813,2.053503,2.367095,3.020843,1.613878,1.84271,0.8050753,3.035818,2.72427,2.37151,1.288505,2.409003,2.30205,1.920568,4.629342,2.498849,2.285251,2.734243,0.5510819,2.578685,3.155823,1.857234,2.015846,2.055562,0.5431519,3.320057,0.503975,0.1083603,3.468021,0.2327513,3.078119,0.1195021,1.371086,0.6132752,2.147112,3.451705,2.6629,1.235433,1.989233,0.3572055,2.475691,2.49796,1.942114,1.610451,8.336688,0.03769589,0.1035059,0.02406781,0.5517596,0.1885904,2.163557,1.475184,0.007609759,0.7335126,0.7244437,0.8867762,0.8054859,1.055354,0.6770392,1.182872,3.254804,2.566876,2.211875,0.08459783,3.048142,2.778469,3.437713,2.305115,0.6250502,2.513175,2.727894,2.360319,3.101664,1.658232,3.283762,3.5386,1.969351,1.382271,0.5273287,1.982868,2.631254,0.9446188,0.4621156,1.805674,0.8988653,2.454224,2.484726,0.2843161,0.003316155,0.04849198,0.003272402,0.1519806,2.348974,1.52308,2.606556,1.684152,0.01427131,2.172498,1.845893,2.506116,0.2152059,0.1783081,1.263036,2.081963,3.89425,1.698829,2.707037,2.31217,0.5099177,0.06106814,0.5543817,0.007115684,2.567999,4.294051,3.329896,3.355978,3.357673
